medicamento,substancia_correta,llm_response
Perindopril 4mg Cp (Não Padrão),PERINDOPRIL ARGININA (PERINDOPRIL ERBUMINA),Perindopril
AZITromicina 500 mg comprimido revestido,AZITROMICINA,Azitromicina
PANTOprazol 40mg Frasco-ampola #,PANTOPRAZOL,Pantoprazol
CARBOplatina 10mg/ml 15ml sol. Inj - QT,CARBOPLATINA,Carboplatina
PredniSONA 5mg Comprimido - Ems,PredniSONA,Prednisona
"ESCITALOPRAM, OXALATO COMPRIMIDO C/10MG",ESCitalopram,Escitalopram
Empagliflozina 10 Mg Cp,empagliflozina ,Empagliflozina
MC: AAS 81MG ,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico
Aldomet 500 Mg Cp.,METILDOPA,Metildopa
IODETO DE POTASSIO 200MG - XAROPE  FR 100 ML,IODETO POTASSIO,Iodeto de Potássio
GLIMEPIRIDA 4MG 30 CP CIMED GEN,GliMEPIRida,Glimepirida
DIGOXINA 0.25MG CPR,DIGOXINA,Digoxina
BROMOPRIDA 5MG/ML 2ML CARRO EMERG AD 02 TERREO,BROMOPRIDA,Bromoprida
benzilpenicilina BENZATINA 1200000UI PO LIOFILIZADO FA,BENZILPENICILINA BENZATINA,Benzilpenicilina Benzatina
Água,AGUA PARA INJECAO,Água
Escopolamina 10 mg/mL fr 20 mL,ESCOPOLAMINA (HIOSCINA),Escopolamina
Xylestesin 10% Fr 50 Ml Spray ( Lidocaína ),LIDOCAINA CLORIDRATO,Lidocaína
Tetralysal 300mg Cápsula,Limeciclina,Limeciclina
COMPLEXO PROTROMBINICO PO LIOFILO INJETAVEL 500UI+DILUENTE 20ML,COMPLEXO PROTROMBINICO,Complexo Protrombínico
SINvastatina 40MG CP,SINVASTATINA,Sinvastatina
TERLIPRESSINA ACETATO 1MG FR-AMP,TERLIPRESSINA,Terlipressina
OXACILINA 500MG (FRASCO) IV,OXACILINA SODICA,Oxacilina
LACTOBACILLUS ACIDOPHILUS+RHAMNOSUS+BIFIDOBACTERIUM+POLIDEXTROSE 1 g,LACTOBACILLUS ACIDOPHILUS + RHAMNOSUS + BIFIDOBACTERIUM + POLIDEXTROSE,"Lactobacillus Acidophilus, Rhamnosus, Bifidobacterium, Polidextrose"
FENOBARBITAL 100MG - COMPRIMIDO,FENOBARBITAL,Fenobarbital
"ESPIRAMICINA 1,5 MUI (500MG) COMPRIMIDO",ESPIRAMICINA,Espiramicina
CASSIA ANG.+CASSIA FIS.+TAMARIN.+CORIAN. CPR,CASSIA SENNA + CASSIA FISTULA + TAMARINDUS + CORIANDRUM + PERIANDRA,"Sene, Cássia e Tamarindo"
METOCLOPRAMIDA 5MG/ML C/2ML INJ,METOCLOPRAMIDA,Metoclopramida
"BICARBONATO DE SODIO 8,4% SOL. P/ HEMODIALISE FR 6,2L",BICARBONATO DE SODIO,Bicarbonato de Sódio
CARBAMAZEPINA CR 400MG COMPRIMIDO,CARBAMAZEPINA,Carbamazepina
TRIANCINOLONA (ACETONIDA) 1MG/G,TRIANCINOLONA (TOPICO),Triancinolona Acetonida
Trometamina Cetorolaco Sl 10mg cp,CETOROLACO DE TROMETAMINA,Cetorolaco de Trometamina
MC: FORXIGA 1CPCEDO ,DAPAGLIFLOZINA,Dapagliflozina
Imunoglobulina Humana 5g (10%) Frasco 50ml,IMUNOGLOBULINA HUMANA,Imunoglobulina Humana
LEVOFLOXACINO 5MG/ML 150ML SOL.INJ,LEVOFLOXACINO,Levofloxacino
SULFATO DE AMICACINA 250MG/ML - 2ML (500MG) – SOLUÇÃO INJETÁVEL - AMPOLA,AMICACINA ,Amicacina
Lidocaina 2% C/V 20 ml FA,LIDOCAINA CLORIDRATO,Lidocaina
METFORMINA 850 MG - COMP,METFORMINA,Metformina
REGENCEL( ACIDO RETINOICO + ASSOCIACOES ) POMADA OFTALMICA,ACIDO RETINOICO (TRETINOINA),Ácido Retinoico
CLORIDRATO DE METOCLOPRAMIDA 5MG/ML - 2ML (10MG) – SOLUÇÃO INJETÁVEL - AMPOLA,METOCLOPRAMIDA,Metoclopramida
NORVASC 5MG CPR,ANLODIPINO,Amlodipina
FOSFATO POTASSICO 10ML (2 MEQ/ML) AMP,FOSFATO DE POTASSIO,Fosfato de Potássio
Linezolida 600mg/300mL Sol inj,LINEZOLIDA,Linezolida
Tridil 25mg Inj. Ampola C/ 5ml,NitroGLICERINA,Nitroglicerina
Delabaxi (delafloxaxino) 300mg ampola,DELAFLOXACINO,Delafloxaxino
Tetraciclina 500 Mg Cp.,Tetraciclina,Tetraciclina
"DEXAMETASONA 10MG/2,5ML",DEXAMETASONA,Dexametasona
ZOLTEC 150MG CAPS GEL-FLUCONAZOL,FLUCONAZOL,Fluconazol
Akineton 2mg Cp.,BIPERIDENO,Biperideno
"DEXAmetasona 4mg/ml Amp 2,5ml",DEXAMETASONA,Dexametasona
DECADRON 4MG COMPRIMIDO,DEXAMETASONA,Dexametasona
FENITOINA 100MG - COMPRIMIDO,FENITOINA,Fenitoína
CefaLOTina 1G SOL INJ EV,Cefalotina,Cefalotina
CETOCONAZOL 20MG/G CREME,CETOCONAZOL (TÓPICO),Cetoconazol
BEVAcizumabe 400mg/16ml Fr-Amp (Convenio),BEVACIZUMABE,Bevacizumabe
"NEOSTIGMINA (0,5MG/1ML) 0.5 mg/mL",NEOSTIGMINA,Neostigmina
Acido Epsilon AMINOcaproico 4G SOL INJ,ACIDO AMINOCAPROICO,Ácido Epsilon Aminocapróico
FentaNILA 250MCG/5ML AMP,FENTANILA,Fentanila
"Vasopressina 20 U/ml, amp 20UI/ml",Vasopressina,Vasopressina
BuPROPiona Cloridrato 150mg cp,BuPROPiona,Bupropiona
AMOXICILINA SUSP ORAL 250MG/5ML FR 150ML,AMOXICILINA,Amoxicilina
DIMORF 10 MG/ML AMP 1 ML,SULFATO DE MORFINA,Morfina
ALBENDAZOL 40MG/ML SUSP. ORAL,ALBENDAZOL,Albendazol
LEVOFLOXACINO 750MG/100ML BOLSA,LEVOFLOXACINO,Levofloxacino
Olmesartana 40mg + HidroCLOROTiazida 25mg Comprimido Revestido,OLMESARTANA+ HIDROCLOROTIAZIDA,"Olmesartana, Hidroclorotiazida"
FAULDFLUOR 2500MG,FLUOROURACILA,Fluoreto de Sódio
Cinetol 5 Mg/ml Amp.,BIPERIDENO,Biperideno
fenoterol + ipratropio 0.05 + 0.02 mg/dose aerossol oral tubo 10mL,IPRAtropio +FENOTEROL,"Fenoterol, Ipratropio"
"IMATINIB, MESILATO 100MG COMPRIMIDO - NP",IMATINIBE,Imatinib
CLINDAMICINA 600MG/4ML,CLINDAMICINA,Clindamicina
"Olmesartana 20mg + HidroCLOROTiazida 12,5mg Comprimido Revestido",OLMESARTANA+ HIDROCLOROTIAZIDA,"Olmesartana, Hidroclorotiazida"
Monoetanolamina 50mg/mL inj. ampola c/ 2mL,OLEATO DE MONOETANOLAMINA,Monoetanolamina
"Clonazepam 20ml (2,5mg/ml) Gts",CLONAZEPAM,Clonazepam
"Lidocaína 50mg/g + Hidrocortisona Acetato 2,5mg/g + Alumínio 35mg/g + Óxido de Zinco 180mg/g Pomada Bisnaga 25g",LIDOCAINA + ACETATO DE HIDROCORTISONA + OXIDO DE ZINCO + SUBACETATO DE ALUMINIO (TOPICO),"Lidocaína, Hidrocortisona Acetato, Alumínio, Óxido de Zinco"
IRRITRATIL 200MG 60 CAP,TRIMEBUTINA,Hidróxido de Alumínio
Lidocaína 10% Spray 50ml | Solução Tópica,LIDOCAINA (TOPICO),Lidocaína
INSULINA LISPRO DERIVADA-ADN RECOMBINAN 100 UI/ML-MED RISCO,INSULINA LISPRO,Insulina Lispro
Dolutegravir Sódico 50 mg cp  revest.,DOLUTEGRAVIR,Dolutegravir
Floratil 200mg/g Env 1g (Não Padrão),SACCHAROMYCES BOULARDII,Saccharomyces boulardii
"Fenobarbital 200mg/2ml, injetável IV",FENOBARBITAL,Fenobarbital
Sotalol 160mg Cp,Sotalol,Sotalol
FUROSEMIDA 10MG/ML - 2ML – SOLUÇÃO INJETÁVEL - VIA ENDOVENOSA OU INTRAMUSCULAR - AMPOLA,FUROSEMIDA,Furosemida
DEXAmetasona 2mg (2mg/ml) Ampola 1ml,DEXAMETASONA,Dexametasona
ALBENDAZOL 400MG COMPRIMIDO,ALBENDAZOL,Albendazol
MEPERIDINA 100MG 2ML (CLOR.) - AMP.,PETIDINA (MEPERIDINA),Meperidina
Acetilcisteina-n 600 Mg/5g Env,ACETILCISTEINA,Acetilcisteína
BuPROPiona 50mg Cap (Med. Controlado) (Não Padrão),BuPROPiona,Bupropiona
Enalapril 1mg/mL Sol oral 100mL (Não Padrão),ENALAPRIL MALEATO,Enalapril
"DIGOXINA 0,25MG - COMPRIMIDO SULCADO",DIGOXINA,Digoxina
ACIDOS GRAXOS ESSENCIAIS (AGE)+TCM+VIT A+VIT E SOL FR 20ML,ACIDOS GRAXOS + RETINOL (VITAMINA A) + TOCOFEROL (VITAMINA E) (TOPICO),"Ácidos Graxos Essenciais, Triglicerídeos de Cadeia Média, Vitamina A, Vitamina E"
ERITROPOETINA SOL INJ 40000UI/ML SER SUBCUTANEO,ALFAEPOETINA (ERITROPOETINA),Eritropoetina
HIDROXIDO DE ALUMINIO 60MG/ML - SUSPENSAO - FRASCO 100ML,HIDROXIDO DE ALUMINIO,Hidróxido de Alumínio
DIAZEPAM 10MG (NP),DIAZEPAM,Diazepam
"MP - ADALImumabe 40mg/0,4ml Seringa",ADALImumabe,Adalimumabe
"Atrovent 0,25 Mg/ Ml Fr C/ 20 Ml ( Brometo de Ipratrópio )",IPRATROPIO,Brometo de Ipratrópio
SIMETICONA EMULSAO 75 MG / ML 15ML,SIMETICONA,Simeticona
SERETIDE FR SPRAY 25MCG/125MCG N.P.,SALMETEROL + FLUTICASONA,Salmeterol e Fluticasona
Cetuximab 100 mg/20 mL (Anticorpo Monoclonal),CETUXIMABE,Cetuximab
DIPROPIONATO DE BECLOMETASONA  - CLENIL SPRAY FR 250MCG N.P.,beclometasona,Dipropionato de Beclometasona
BENZOCAINA GEL 200 MG/G 12G (SABOR MENTA),BENZOCAINA,Benzocaína
"FLUMAZENIL 0,1MG / ML 5ML IV",FLUMAZENIL,Flumazenil
BENALET - PASTILHAS,DIFENIDRAMINA + AMONIO + CITRATO DE SODIO,"Difenidramina, Cloridrato de Amônio, Benzoato de Sódio"
"CLORIDRATO DE NAFAZOLINA 0,5 mg/ml",NAFAZOLINA,Nafazolina
AMOXICILINA+CLAVULANATO DE POTASSIO 500+125 MG,AMOXICILINA + CLAVULANATO POTASSIO,Amoxicilina + Clavulanato de Potássio
Glicinato férrico + associações Susp oral 120mL,GLICINATO FERRICO + CIANOCOBALAMINA (VITAMINA B12) + DEXPANTENOL (VITAMINA B5) + NICOTINAMIDA + NITRATO DE TIAMINA (VITAMINA B1) + RIBOFLAVINA (VITAMINA B2),Glicinato férrico
CISPLATINA 1MG/ML 50ML FA,CISPLATINA,Cisplatina
Metilcelulose 2% soluçao oftalmica - fr 10mL 20 mg/mL,METILCELULOSE (OFTÁLMICO),Metilcelulose
Valproato de Sódio 500mg,VALPROATO DE SODIO,Valproato de Sódio
SULFATO FERROSO 300MG (60MG DE FERRO ELEMENTAR) DRAGEA NP,SULFATO FERROSO,Sulfato Ferroso
Omeprazol 40mg FA,OMEPRAZOL,Omeprazol
Ácidos Graxos Essenciais Loção Hidratante Bisnaga 30g,ACIDOS GRAXOS ESSENCIAIS (TOPICO),Ácidos Graxos Essenciais
LOSARTAN 50MG COMP,LOSARTANA,Losartan
Digedrat 200mg Cap (Não Padrão),TRIMEBUTINA,Metoclopramida
Hidro-beta-metil-butirato (hmb) 3g Sachê - Manipulado,METILBUTIRATO,Hidroxi-Metil-Butirato
TROPINAL SOL ML,ESCOPOLAMINA + DIPIRONA,Hioscina
Finasterida 5mg cp,FINASTERIDA,Finasterida
"DENOSUMABE SOLUCAO INJETAVEL 120MG/1,7ML##®",DENOSUMABE,Denosumabe
FENOBARBITAL (800MG/ 20ML) 40 mg/mL,FENOBARBITAL,Fenobarbital
AloPURinol 100MG,AloPURinol,Alopurinol
AZITromicina 500MG VO,AZITROMICINA,Azitromicina
ETOPOSIDO 100MG QT,ETOPOSIDEO,Etoposido
DEXTROCETAMINA 50MG/ML - F/A 10ML,DEXTROCETAMINA (ESCETAMINA),Dextroanfetamina
DIPIRONA 500 MG COMP,DipiRONA,Dipirona
DOPamina 50MG / 10ML 10ML (MED. ALTO RISCO),DOPamina,Dopamina
DIAZEPAM 10MG/2ML SOL INJ IV,DIAZEPAM,Diazepam
REMINIL ER 24 MG (NP),galantamina ,Galantamina
Uso Dom.: PERIVASC 1000MG,DIOSMINA + HESPERIDINA,Ácido Aminocapróico
TRASTUzumabe 600mg/5mL,TRASTUZUMABE,Trastuzumabe
Prontosan Solução 350 ml,POLI-HEXANIDA,Poliaminoácido e Undecilenamidopropil Betaína
"Clindamicina, cloridrato de, 300 mg ",CLINDAMICINA,Clindamicina
DipiRONA 500mg/mL Frasco 20mL | Solução Oral,DipiRONA,Dipirona
Lisodren (Mitotano) 500mg comprimido,MITOTANO,Mitotano
FENITOINA 100MG COMP (HIDANTAL),FENITOINA,Fenitoína
GANciclovir 1mg/mL Sol Inj 100mL (bolsa),GANCICLOVIR,Ganciclovir
Protamina 1000UI/mL - 5mL,PROTAMINA,Protamina
FENOTEROL 5MG/ML (SOL P/ NEBULIZAÇÃO) - FR 20ML,FENOTEROL,Fenoterol
ACIDO ACETILSALICILICO 100MG,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico
DipiRONA  INJETAVEL 2 ML 500 MG/ML AMP,DipiRONA,Dipirona
FITOMENADIONA (VIT K) 10MG/ML 1ML - USO IM,FITOMENADIONA (VITAMINA K),Fitomenadiona
Pomalidomida 4mg Cápsula,POMALIDOMIDA,Pomalidomida
IODO POVIDONA 5% SOL OFTALMICA,IODOPOVIDONA (OFTALMICO),Iodo Povidona
Biperideno 5 mg/mL amp 1 mL (Port344/98),BIPERIDENO,Biperideno
"BICARBONATO DE SODIO 8,4% 10ML",BICARBONATO DE SODIO,Bicarbonato de Sódio
FENOBARBITAL  40MG / ML GTS,FENOBARBITAL,Fenobarbital
Flagyl Nistatina Creme Vaginal Bisnaga 50g,METRONIDAZOL + NISTATINA (TOPICO),"Metronidazol, Nistatina"
Cefalexina 50mg/mL - 100mL,Cefalexina,Cefalexina
ACIDO ASCORBICO 100 MG/ML - 5ML (500 MG) - AMP,ACIDO ASCORBICO (VITAMINA C),Ácido Ascórbico
"Pegfilgrastim 6 mg solucao injetavel seringa 0,6 mL ",PEGFILGRASTIM,Pegfilgrastim
Levetiracetam 100 mg/mL sol. oral,LEVETIRACETAM,Levetiracetam
Dexalgen (Ampola I e II),DEXAMETASONA + DIPIRONA + HIDROXOCOBALAMINA,"Dexametasona, Cloridrato de Tiamina, Cloridrato de Piridoxina, Cianocobalamina"
Sulfato Ferroso 40mg comprimido,SULFATO FERROSO,Ferro
[MPP] SOL. GLICOSE 75% AMP 10 ML,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose
ACIDO TRANEXAMICO 50MG/ML - AMP 5ML,ACIDO TRANEXAMICO,Ácido Tranexâmico
CIPROFLOXACINO CLORIDRATO COMPRIMIDO REVESTIDO 500MG,CIPROFLOXACINO  ,Ciprofloxacino
"Cloreto de potassio 60 mg/mL (0,6 meq/mL) fr 150 mL",CLORETO DE POTASSIO,Cloreto de potassio
ESCOPOLAMINA 10MG + DIPIRONA 250MG - COMPRIMIDO,ESCOPOLAMINA + DIPIRONA,"Escopolamina, Dipirona"
LIDOCAINA GELEIA 2%  5G(DOSADORA),LIDOCAINA (TOPICO),Lidocaína
"BRAVAN HCT 80MG/12,5MG 30 CP REV",VALSARTANA +HIDROCLOROTIAZIDA,Valsartana e Hidroclorotiazida
Terlipressina 1mg Frasco-ampola + Diluente Ampola 5ml,TERLIPRESSINA,Terlipressina
Protamina 1000ui/ml 5ml Amp,PROTAMINA,Protamina
OXCARBAZEPINA 300MG CP,OXCARBAZEPINA,Oxcarbazepina
CETOPROFENO 50 MG CAPSULA,CETOPROFENO,Cetoprofeno
"ELIQUIS 2,5MG 20 CP REV",APIXABANA,Apixabana
"CloNIDina 0,100mg cp.",CLONIDINA,Clonidina
"Fenoterol 0,5% FR 20 mL",FENOTEROL,Fenoterol
Succinato De Metoprolol 50mg Cp,METOPROLOL SUCCINATO,Metoprolol
Ciprofloxacino 500mg Cp.,CIPROFLOXACINO  ,Ciprofloxacino
metoclopramida 10 mg comprimido,METOCLOPRAMIDA,Metoclopramida
COBALAMINA CRONOATIVA 5 mg/mL,CIANOCOBALAMINA (VITAMINA B12),Cobalamina
Aciclovir 250MG SOL.INJ,ACICLOVIR,Aciclovir
COMPL. VITAM. A+B ADULTO - POLIVITAMINICOS,POLIVITAMINICO,Vitaminas A e B
Atorvastatina 10mg Comprimido,ATORVASTATINA,Atorvastatina
ASPARTATO DE ARGININA 500 mg,ARGININA,Aspartato de Arginina
ClorproMAZINA CLORIDRATO SOLUCAO ORAL 40MG/ML 20ML @,ClorproMAZINA,Clorpromazina
"SORO FISIOLOGICO 0,9% 500ML - SOROTERAPIA","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
Flutamida 250mg Cpr,FLUTAMIDA,Flutamida
"BETAmetasona 0,5mg/g + Gentamicina 1mg/g Creme Bisnaga 30g - Medley",GENTAMICINA + BETAMETASONA (TOPICO),"Betametasona, Gentamicina"
HEMITARTARATO DE ZOLPIDEM 10 mg,ZOLPIDEM,Zolpidem
Antara EV (LevETIRAcetam) 100 mg/mL 5 mL INJETÁVEL,LEVETIRACETAM,Levetiracetam
Hidróxido de Alumínio + Magnésio + Simeticona Fr susp. 240 ml,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + SIMETICONA,"Hidróxido de Alumínio, Magnésio, Simeticona"
Iressa 250 mg cp (QT),GEFITINIBE,Gefitinib
Ciprofloxacino 400mg Inj. Frasco C/ 200ml,CIPROFLOXACINO  ,Ciprofloxacino
Fenoterol 100mcg/dose Frasco 200doses/10mL Inalação Oral Aerosol,FENOTEROL,Fenoterol
QUETIAPINA 25 mg cpr,QUEtiapina,Quetiapina
TC HISC - SEVOFLURANO 1ML/ML SOLUCAO INALATORIA FR 250ML,SEVOFLURANO,Sevoflurano
ZOLPIDEM COMP 10MG,ZOLPIDEM,Zolpidem
Lokelma 5g Env (Não Padrão),CICLOSSILICATO DE ZIRCONIO SODICO,Saxagliptina
IRRITRATIL 200MG 30 CAP GELAT MOLE,TRIMEBUTINA,Butilbrometo de Escopolamina
LACTULONA 667MG/ML XAROPE 120ML FR,LACTULOSE,Lactulose
Ginkgo Biloba Comprimido 80mg,GINKGO,Ginkgo Biloba
Diclofenaco sódico 50mg Cp rev lib retard,DICLOFENACO SODICO,Diclofenaco sódico
"ESCOPOLAMINA 20MG + DIPIRONA 2,5G (BUSC.COMPOSTO)",ESCOPOLAMINA + DIPIRONA,"Escopolamina, Dipirona"
Solução Glicofisiológico 1:1 Frasco 500ml,SOLUCAO GLICOFISIOLOGICA (CLORETO DE SODIO + GLICOSE),"Cloreto de sódio, glicose"
Naropin 1% (10mg/ml) Ampola 20ml #,ROpivacaina,Ropivacaína
Agomelatina Comprimido Revestido 25mg,AGOMELATINA,Agomelatina
HEMI. DE NOREPinefrina 2MG/ML SOL. INJETAVEL AMP 4ML,NOREPINEFRINA (NORADRENALINA),Norepinefrina
Gabapentina 400mg Cap (Med. Controlado) (Não Padrão),GABAPENTINA,Gabapentina
DIAZEPAM 5MG/ML - AMP. 2ML (DIEMPAX) (ADULTO) - MPP,DIAZEPAM,Diazepam
DOCETAXEL,DOCETAXEL,Docetaxel
GABAPENTINA 300MG (MPP),GABAPENTINA,Gabapentina
Atenolol 25mg cpr,ATENOLOL,Atenolol
BENZILPENICILINA POTASSICA 5.000.000 UI - FA,BENZILPENICILINA POTASSICA (CRISTALINA),Benzilpenicilina Potássica
HIDROCORTISONA 100MG,HIDROCORTISONA SUCCINATO SODICO,Hidrocortisona
ACETATO DE TOCOFEROL (E)+COLECALCIFEROL(D)+ VIT A (PURAVIT),TOCOFEROL (VITAMINA E) + COLECALCIFEROL (VITAMINA D) + RETINOL (VITAMINA A)VITAMINA A,"Acetato de Tocoferol, Colecalciferol, Vitamina A"
FUROSEMIDA 40MG CP,FUROSEMIDA,Furosemida
"AZTREONAM FA 1,0G PO INJ - AZANEM (NP)",AZTREONAM,Aztreonam
OSCAL (CARBONATO DE CALCIO) 500MG COMP,CARBONATO DE CALCIO,Carbonato de Cálcio
QT PREDNISONA 20 MG CPR,PredniSONA,Prednisona
NIMODIPINA 30 MILIGRAMAS (COMPRIMIDO),NiMODipino,Nimodipina
HIDROCORTISONA 1% CREME - 30G,ACETATO DE HIDROCORTISONA (TOPICO),Hidrocortisona
SALMETEROL + FLUTICASONA SPRAY 25/125MCG FR,SALMETEROL + FLUTICASONA,"Salmeterol, Fluticasona"
Zetia 10mg Comprimido,EZETIMIBA,Ezetimiba
Euthyrox 175mcg Comprimido,LevoTIROXina,Levotiroxina sódica
Zolpiden 10mg Cp.,ZOLPIDEM,Zolpidem
(ALTA VIGILÂNCIA) GLUCONATO CALCIO 10% 10mL 100 mg/mL,GLUCONATO DE CALCIO,Gluconato de Cálcio
ACETILCISTEINA GRANULADO 600MG HDJB,ACETILCISTEINA,Acetilcisteína
CEFALEXINA 500MG CPR                      ,Cefalexina,Cefalexina
LEUPRORRELINA ACETATO PO LIOFILO INJETAVEL 45MG + SERINGA DILUENTE ##,LEUPRORRELINA,Leuprorrelina
MEROpenem 1g Frasco-ampola - ABL,MEROPENEM,Meropenem
"Proximetacaina 5,0mg/mL - 5mL (Anestalcon)",PROXIMETACAINA (OFTALMICO),Proximetacaina
Neozine (LevoMEPROmazina) 25mg Comprimido,LEVOMEPROMAZINA (METOTRIMEPRAZINA),Levomepromazina
"VENLAFAXINA 37,5mg COMP **",VENLAFAXINA ,Venlafaxina
"CLORETO DE SODIO 0,9% 250ML, SISTEMA FECHADO","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
"DIGOXINA 0,25 mg",DIGOXINA,Digoxina
SEVORANE,SEVOFLURANO,Sevoflurano
montelucaste 4 mg comprimido mastigavel,MONTELUCASTE,Montelucaste
Prostokos 25 mcg  cp vag,Misoprostol,Misoprostol
MEGAPEN 5.000.000 FR/AMP INTRAMUSCULAR,BENZILPENICILINA POTASSICA (CRISTALINA),Ampicilina
LIDOCAINA 2% S/V FR 20ML,LIDOCAINA CLORIDRATO,Lidocaína
NITROGLICERINA 25MG/5ML - SG - (DVA-MPP),NitroGLICERINA,Nitroglicerina
CefOTAXima 1000mg FA,CEFOTAXIMA,Cefotaxima
OXIDO DE ZINCO + NISTATINA 200MG+100.00UI/G POMADA 60G,NISTATINA + OXIDO DE ZINCO (TOPICO),Óxido de Zinco + Nistatina
VINORELBINA 30MG CAPS,TARTARATO DE VINORELBINA,Vinorelbina
LOTAR 5/100MG 30 CAP,ANLODIPINO + LOSARTANA,Losartana Potássica / Atenolol
ALENIA 12/400MCG,FORMOTEROL,Budesonida + Formoterol
OXALiplatina 100 mg fr amp (QT),OXALIPLATINA,Oxaliplatina
VACINA ABELHA (HIMENOPTEROS) - 1:10 (10 mcg/ml),VACINA ABELHA,Extrato de Abelha
CLORIDRATO DE PAPAVERINA 50MG/ML AMP 2ML,PAPAVERINA,Papaverina
CLENIL HFA 200 MCG,beclometasona,Beclometasona
Sucralfato 2g Flaconete 10ml,SUCRALFATO,Sucralfato
SOLUCAO INSULINA ENDOVENOSA,INSULINA HUMANA NPH,Insulina
Atenolol 25mg cp,ATENOLOL,Atenolol
MC: ETNA,CITIDINA  + URIDINA + HIDROXOCOBALAMINA,Etna
Mononitrato De Isossorbida 20mg Cp.,ISOSSORBIDA,Isossorbida
"CLONIDINA 0,1MG COMP",CLONIDINA,Clonidina
Benzoilmetronidazol 40mg/ml (25mg/ml de metronidazol) Fr. 80ml,BENZOILMETRONIDAZOL,Metronidazol
amOXICIlina (SODICA) PO P/ SUSP ORAL 250MG/5ML - FR 150ML,AMOXICILINA,Amoxicilina
Aciclovir 250 MG -  EV,ACICLOVIR,Aciclovir
SULPIRIDA 200 MG CMP,SULPIRIDA,Sulpirida
RIVAROXABANA 20  mg,RIVAROXABANA,Rivaroxabana
Ambrisentana 10mg Comprimido Revestido,AMBRISENTANA,Ambrisentana
ERITROMICINA 1G ,ERITROMICINA,Eritromicina
ALBENDAZOL SUSP ORAL (10ML) 40 mg/mL,ALBENDAZOL,Albendazol
QUEtiapina 25MG CPREV,QUEtiapina,Quetiapina
Azul de Metileno 2% (20mg/ml) Ampola 5ml - Manipulado,AZUL DE METILENO (CLORETO DE METILTIONINIO),Azul de Metileno
Fenitoina Sodica 50mg/ml Amp 5ml,FENITOINA,Fenitoína
EPINEFrina 1mg/mL - 1mL,ADRENALINA (EPINEFRINA),Epinefrina
METOCLOPRAMIDA INJETAVEL - 2 ML 5 MG/ML AMP,METOCLOPRAMIDA,Metoclopramida
DIPROPIONATO DE BECLOMETASONA 200MCG 200 DOSES FR10ML (NP),beclometasona,Dipropionato de Beclometasona
ALOPURINOL 300MG COMP,AloPURinol,Alopurinol
Divelol Comprimido 25mg,CarVEDilol,Carvedilol
IOXITALAMATO DE MEGLUBINA 300MG FR.50ML (TELEBRIX MEGLUBINA),IOXITALAMATO DE MEGLUMINA,Ioxitalamato de Meglubina
PIRIMETAMINA 25MG CP,PIRIMETAMINA,Pirimetamina
HIDRALAZINA 50 MG DRAGEA,HidrALAZINA,Hidralazina
RHODIOLA ROSEA 400 mg,RHODIOLA ROSEA,Rhodiola Rosea
CETOPROFENO 100MG IV - FR AMP,CETOPROFENO,Cetoprofeno
SulfADIAZINA DE PRATA 10MG/G CREME TUBO 50G,SULFADIAZINA DE PRATA (TÓPICO),Sulfadiazina de Prata
Doxopeg  20 mg/10 mL fr amp (QT),DOXORRUBICINA  CLORIDRATO,Doxorrubicina
BuPROPiona 150mg,BuPROPiona,Bupropiona
PROGRAF 5MG COMP - TACROLIMUS (NP),TACROLIMO,Tacrolimus
OMEPRAZOL 20MG,OMEPRAZOL,Omeprazol
"DUTAM 0,5MG + 0,4MG (NP)",TANSULOSINA + DUTASTERIDA,Dutasterida + Tansulosina
CEFALEXINA SUSP. ORAL 50 MG/ML FR,Cefalexina,Cefalexina
"Clorexidina Gluconato 0,12% Sol. Bucal Fr. 1000mL",CLOREXIDINA,Clorexidina Gluconato
NIFEDIPINA 10MG COMP,NIFEDIPINO,Nifedipina
Ticagrelor 90mg cp,TICAGRELOR,Ticagrelor
Depakene 50mg/ml Xarope Frasco 100ml - Dose,ACIDO VALPROICO (VALPROATO DE SODIO),Ácido valproico
MC: CILOSTAZOL 50MG ,Cilostazol,Cilostazol
Dexametasona 4mg Cp.,DEXAMETASONA,Dexametasona
CEFAZOLINA 1G (FRASCO AMPOLA) IV,CeFAZolina,Cefazolina
CARBAMAZEPINA 100MG/5ML P/ML SOL ORAL,CARBAMAZEPINA,Carbamazepina
LOPINAVIR 200 MG + RITONAVIR 50 MG 250 MG CMP,LOPINAVIR + RITONAVIR,Lopinavir + Ritonavir
Tramadol 100mg (Retard) ,TRAMADOL CLORIDRATO,Tramadol
Isordil SL 5 mg comp (RQ),ISOSSORBIDA,Isossorbida
NITROGLICERINA 5MG/ML 10ML INJ,NitroGLICERINA,Nitroglicerina
Bromoprida 4mg/ml Gotas Fr 20ml,BROMOPRIDA,Bromoprida
Pomada Lubrificante com Lanolina Tb. 5g,LANOLINA (TOPICO),Lanolina
MC: FUROSEMIDA 40MG ,FUROSEMIDA,Furosemida
