medicamento,llm_response,input_tokens,output_tokens
[MPP] SOL. GLICOSE 75% AMP 10 ML,Glicose,121,3
ACIDO TRANEXAMICO 50MG/ML - AMP 5ML,Ácido Tranexâmico,121,6
CIPROFLOXACINO CLORIDRATO COMPRIMIDO REVESTIDO 500MG,Ciprofloxacino,128,5
"Cloreto de potassio 60 mg/mL (0,6 meq/mL) fr 150 mL",Cloreto de potassio,128,7
ESCOPOLAMINA 10MG + DIPIRONA 250MG - COMPRIMIDO,"Escopolamina, Dipirona",126,7
LIDOCAINA GELEIA 2%  5G(DOSADORA),Lidocaína,124,5
"BRAVAN HCT 80MG/12,5MG 30 CP REV",Valsartana e Hidroclorotiazida,122,12
Terlipressina 1mg Frasco-ampola + Diluente Ampola 5ml,Terlipressina,126,4
Protamina 1000ui/ml 5ml Amp,Protamina,116,2
OXCARBAZEPINA 300MG CP,Oxcarbazepina,116,6
CETOPROFENO 50 MG CAPSULA,Cetoprofeno,116,5
"ELIQUIS 2,5MG 20 CP REV",Apixabana,118,4
"CloNIDina 0,100mg cp.",Clonidina,116,4
"Fenoterol 0,5% FR 20 mL",Fenoterol,117,4
Succinato De Metoprolol 50mg Cp,Metoprolol,117,4
Ciprofloxacino 500mg Cp.,Ciprofloxacino,115,5
metoclopramida 10 mg comprimido,Metoclopramida,117,6
COBALAMINA CRONOATIVA 5 mg/mL,Cobalamina,117,4
Aciclovir 250MG SOL.INJ,Aciclovir,115,4
COMPL. VITAM. A+B ADULTO - POLIVITAMINICOS,Vitaminas A e B,125,6
Atorvastatina 10mg Comprimido,Atorvastatina,117,6
ASPARTATO DE ARGININA 500 mg,Aspartato de Arginina,115,7
ClorproMAZINA CLORIDRATO SOLUCAO ORAL 40MG/ML 20ML @,Clorpromazina,131,5
"SORO FISIOLOGICO 0,9% 500ML - SOROTERAPIA",Cloreto de Sódio,128,7
Flutamida 250mg Cpr,Flutamida,114,4
"BETAmetasona 0,5mg/g + Gentamicina 1mg/g Creme Bisnaga 30g - Medley","Betametasona, Gentamicina",135,9
HEMITARTARATO DE ZOLPIDEM 10 mg,Zolpidem,119,4
Antara EV (LevETIRAcetam) 100 mg/mL 5 mL INJETÁVEL,Levetiracetam,129,5
Hidróxido de Alumínio + Magnésio + Simeticona Fr susp. 240 ml,"Hidróxido de Alumínio, Magnésio, Simeticona",130,19
Iressa 250 mg cp (QT),Gefitinib,115,4
Ciprofloxacino 400mg Inj. Frasco C/ 200ml,Ciprofloxacino,123,5
Fenoterol 100mcg/dose Frasco 200doses/10mL Inalação Oral Aerosol,Fenoterol,130,4
QUETIAPINA 25 mg cpr,Quetiapina,115,4
TC HISC - SEVOFLURANO 1ML/ML SOLUCAO INALATORIA FR 250ML,Sevoflurano,131,6
ZOLPIDEM COMP 10MG,Zolpidem,113,4
Lokelma 5g Env (Não Padrão),Saxagliptina,118,5
IRRITRATIL 200MG 30 CAP GELAT MOLE,Butilbrometo de Escopolamina,122,9
LACTULONA 667MG/ML XAROPE 120ML FR,Lactulose,122,4
Ginkgo Biloba Comprimido 80mg,Ginkgo Biloba,116,5
Diclofenaco sódico 50mg Cp rev lib retard,Diclofenaco sódico,120,7
"ESCOPOLAMINA 20MG + DIPIRONA 2,5G (BUSC.COMPOSTO)","Escopolamina, Dipirona",130,7
Solução Glicofisiológico 1:1 Frasco 500ml,"Cloreto de sódio, glicose",122,11
Naropin 1% (10mg/ml) Ampola 20ml #,Ropivacaína,122,6
Agomelatina Comprimido Revestido 25mg,Agomelatina,119,5
HEMI. DE NOREPinefrina 2MG/ML SOL. INJETAVEL AMP 4ML,Norepinefrina,131,5
Gabapentina 400mg Cap (Med. Controlado) (Não Padrão),Gabapentina,124,3
DIAZEPAM 5MG/ML - AMP. 2ML (DIEMPAX) (ADULTO) - MPP,Diazepam,134,3
DOCETAXEL,Docetaxel,109,4
GABAPENTINA 300MG (MPP),Gabapentina,117,3
Atenolol 25mg cpr,Atenolol,114,4
BENZILPENICILINA POTASSICA 5.000.000 UI - FA,Benzilpenicilina Potássica,125,11
HIDROCORTISONA 100MG,Hidrocortisona,113,6
ACETATO DE TOCOFEROL (E)+COLECALCIFEROL(D)+ VIT A (PURAVIT),"Acetato de Tocoferol, Colecalciferol, Vitamina A",133,17
FUROSEMIDA 40MG CP,Furosemida,113,4
"AZTREONAM FA 1,0G PO INJ - AZANEM (NP)",Aztreonam,126,4
OSCAL (CARBONATO DE CALCIO) 500MG COMP,Carbonato de Cálcio,120,7
QT PREDNISONA 20 MG CPR,Prednisona,115,4
NIMODIPINA 30 MILIGRAMAS (COMPRIMIDO),Nimodipina,122,5
HIDROCORTISONA 1% CREME - 30G,Hidrocortisona,119,6
SALMETEROL + FLUTICASONA SPRAY 25/125MCG FR,"Salmeterol, Fluticasona",124,10
Zetia 10mg Comprimido,Ezetimiba,114,4
Euthyrox 175mcg Comprimido,Levotiroxina sódica,116,9
Zolpiden 10mg Cp.,Zolpidem,114,4
(ALTA VIGILÂNCIA) GLUCONATO CALCIO 10% 10mL 100 mg/mL,Gluconato de Cálcio,132,9
ACETILCISTEINA GRANULADO 600MG HDJB,Acetilcisteína,121,7
CEFALEXINA 500MG CPR                      ,Cefalexina,114,4
LEUPRORRELINA ACETATO PO LIOFILO INJETAVEL 45MG + SERINGA DILUENTE ##,Leuprorrelina,136,5
MEROpenem 1g Frasco-ampola - ABL,Meropenem,119,3
"Proximetacaina 5,0mg/mL - 5mL (Anestalcon)",Proximetacaina,126,5
Neozine (LevoMEPROmazina) 25mg Comprimido,Levomepromazina,123,6
"VENLAFAXINA 37,5mg COMP **",Venlafaxina,118,5
"CLORETO DE SODIO 0,9% 250ML, SISTEMA FECHADO",Cloreto de Sódio,128,7
"DIGOXINA 0,25 mg",Digoxina,113,3
SEVORANE,Sevoflurano,109,6
montelucaste 4 mg comprimido mastigavel,Montelucaste,118,4
Prostokos 25 mcg  cp vag,Misoprostol,116,4
MEGAPEN 5.000.000 FR/AMP INTRAMUSCULAR,Ampicilina,124,5
LIDOCAINA 2% S/V FR 20ML,Lidocaína,118,5
NITROGLICERINA 25MG/5ML - SG - (DVA-MPP),Nitroglicerina,127,4
CefOTAXima 1000mg FA,Cefotaxima,115,5
OXIDO DE ZINCO + NISTATINA 200MG+100.00UI/G POMADA 60G,Óxido de Zinco + Nistatina,132,12
VINORELBINA 30MG CAPS,Vinorelbina,114,4
LOTAR 5/100MG 30 CAP,Losartana Potássica / Atenolol,115,12
ALENIA 12/400MCG,Budesonida + Formoterol,114,8
OXALiplatina 100 mg fr amp (QT),Oxaliplatina,119,5
VACINA ABELHA (HIMENOPTEROS) - 1:10 (10 mcg/ml),Extrato de Abelha,130,6
CLORIDRATO DE PAPAVERINA 50MG/ML AMP 2ML,Papaverina,124,4
CLENIL HFA 200 MCG,Beclometasona,114,5
Sucralfato 2g Flaconete 10ml,Sucralfato,118,4
SOLUCAO INSULINA ENDOVENOSA,Insulina,117,3
Atenolol 25mg cp,Atenolol,113,4
MC: ETNA,Etna,109,3
Mononitrato De Isossorbida 20mg Cp.,Isossorbida,119,4
"CLONIDINA 0,1MG COMP",Clonidina,115,4
Benzoilmetronidazol 40mg/ml (25mg/ml de metronidazol) Fr. 80ml,Metronidazol,133,5
amOXICIlina (SODICA) PO P/ SUSP ORAL 250MG/5ML - FR 150ML,Amoxicilina,133,4
Aciclovir 250 MG -  EV,Aciclovir,115,4
SULPIRIDA 200 MG CMP,Sulpirida,114,4
RIVAROXABANA 20  mg,Rivaroxabana,115,5
Ambrisentana 10mg Comprimido Revestido,Ambrisentana,118,4
ERITROMICINA 1G ,Eritromicina,114,4
ALBENDAZOL SUSP ORAL (10ML) 40 mg/mL,Albendazol,122,5
QUEtiapina 25MG CPREV,Quetiapina,114,4
Azul de Metileno 2% (20mg/ml) Ampola 5ml - Manipulado,Azul de Metileno,127,6
Fenitoina Sodica 50mg/ml Amp 5ml,Fenitoína,120,5
EPINEFrina 1mg/mL - 1mL,Epinefrina,118,4
METOCLOPRAMIDA INJETAVEL - 2 ML 5 MG/ML AMP,Metoclopramida,126,6
DIPROPIONATO DE BECLOMETASONA 200MCG 200 DOSES FR10ML (NP),Dipropionato de Beclometasona,131,11
ALOPURINOL 300MG COMP,Alopurinol,114,5
Divelol Comprimido 25mg,Carvedilol,114,4
IOXITALAMATO DE MEGLUBINA 300MG FR.50ML (TELEBRIX MEGLUBINA),Ioxitalamato de Meglubina,132,10
PIRIMETAMINA 25MG CP,Pirimetamina,115,4
HIDRALAZINA 50 MG DRAGEA,Hidralazina,115,5
RHODIOLA ROSEA 400 mg,Rhodiola Rosea,114,5
CETOPROFENO 100MG IV - FR AMP,Cetoprofeno,117,5
SulfADIAZINA DE PRATA 10MG/G CREME TUBO 50G,Sulfadiazina de Prata,126,8
Doxopeg  20 mg/10 mL fr amp (QT),Doxorrubicina,121,5
BuPROPiona 150mg,Bupropiona,111,4
PROGRAF 5MG COMP - TACROLIMUS (NP),Tacrolimus,121,3
OMEPRAZOL 20MG,Omeprazol,114,5
"DUTAM 0,5MG + 0,4MG (NP)",Dutasterida + Tansulosina,122,9
CEFALEXINA SUSP. ORAL 50 MG/ML FR,Cefalexina,120,4
"Clorexidina Gluconato 0,12% Sol. Bucal Fr. 1000mL",Clorexidina Gluconato,130,9
NIFEDIPINA 10MG COMP,Nifedipina,114,5
Ticagrelor 90mg cp,Ticagrelor,113,5
Depakene 50mg/ml Xarope Frasco 100ml - Dose,Ácido valproico,123,5
MC: CILOSTAZOL 50MG ,Cilostazol,116,5
Dexametasona 4mg Cp.,Dexametasona,115,5
CEFAZOLINA 1G (FRASCO AMPOLA) IV,Cefazolina,121,4
CARBAMAZEPINA 100MG/5ML P/ML SOL ORAL,Carbamazepina,123,5
LOPINAVIR 200 MG + RITONAVIR 50 MG 250 MG CMP,Lopinavir + Ritonavir,126,10
Tramadol 100mg (Retard) ,Tramadol,116,3
Isordil SL 5 mg comp (RQ),Isossorbida,117,4
NITROGLICERINA 5MG/ML 10ML INJ,Nitroglicerina,122,4
Bromoprida 4mg/ml Gotas Fr 20ml,Bromoprida,119,5
Pomada Lubrificante com Lanolina Tb. 5g,Lanolina,119,3
MC: FUROSEMIDA 40MG ,Furosemida,115,4
LORazepam 2mg Cp (Med. Controlado) ,Lorazepam,120,4
SORO GLICOSADO 5% 500 ML,Glicose,118,3
CLOR. DE CEFEPIMA 1G PO LIOFILIZADO FA,Cefepima,124,4
"Ecofilm 0,5% 5mg/mL Sol oftálmica 15mL (Não Padrão)",Ecabet,131,2
"DEXAmetasona 0,1% CREME 10G BSN",Dexametasona,123,5
CloNAZepam 2mg Cp,Clonazepam,113,4
LEXAPRO 10MG 60 CP REV C1,Escitalopram,118,4
CLORIDRATO DE DULOXETINA 30 MG,Duloxetina,119,5
TARTARATO DE METOPROLOL 1MG/ML 5ML (5MG) - SOLUÇÃO INJETÁVEL - AMPOLA,Metoprolol,139,4
SIROLIMUS 2MG - DRAGEA,Sirolimus,116,3
"LEUPRORRELINA 3,75MG/ML",Leuprorrelina,118,5
Glicose 10% Bolsa 1000ml - Beker,Glicose,120,3
MPP:  LEVODOPA 100 MG + BENSERAZIDA 25 MG,Levodopa + Benserazida,126,8
DONEPEZILA 10 MG (NP),Donepezila,115,3
Fauldfluor 2500mg (50mg/ml) Frasco-ampola 50ml,Fluorouracil,126,6
DUPIXENT 300MG 2 S PX2ML150MG/ML GELAD,Dupilumabe,124,4
Placebo/Bemarituzumab 20mg/mL Sol inj 20mL (Pesquisa Clínica),Bemarituzumab,131,7
Topiramato 25mg Cp.,Topiramato,113,3
Enzyfor (Lactase) sachê ,Lactase,116,3
PERMANGANATO DE POTASSIO - COMPRESSAS SOLUCAO 1:10000,Permanganato de Potássio,127,8
Oleo mineral Fr. 100mL,Óleo Mineral,114,3
"Alfast 0,544mg/ml Amp/5ml Inj.",Alprostadil,120,4
ENOXAparina 40MG (ALTA VIGILÂNCIA),Enoxaparina,123,5
ARIPIPRAZOL 15 mg,Aripiprazol,114,5
CLINDAMICINA 600MG SOL. INJ.,Clindamicina,118,4
Ondansetrona 8 mg/4 mL amp,Ondansetrona,118,6
"CLORETO DE POTASSIO 19,1% EV BI - (MEDICAMENTO DE RISCO)",Cloreto de Potássio,130,8
"SORO FISIOLOGICO 0,9% 50ML",Cloreto de Sódio,121,7
Dimorf 10mg Cp.,Morfina,112,3
FITOMENADIONA 10 MG/ML SOLUCAO INJETAVEL AMPOLA 1 ML,Fitomenadiona,130,4
IMATINIBE 400MG CP,Imatinibe,113,3
Celestone Soluspan Ampola 1ml,Betametasona,115,5
"HEPARINA  SODICA  SUB CUTANEA  0,25 ML 5000 UI AMP",Heparina Sódica,129,6
Lasix Amp. 20 Mg/2 Ml ( Furosemida ),Furosemida,122,4
POLIMIXINA B 500.000UI,Polimixina B,115,5
FLUNARIZINA 10MG COMP,Flunarizina,114,4
"ESCOPOLAMINA 6,67MG/ML+ DIPIRONA 333,4MG SOL.ORAL - FR 20ML","Escopolamina, Dipirona",135,7
N-ACETILCISTEINA 600MG D ENV,N-Acetilcisteína,119,9
Pamidronato 90 mg inj.,Pamidronato,114,5
FERRO III 500MG 50MG/ML 10ML SOL.INJ FERRINJECT,Ferro III,127,3
POLIMIXINA B 500.000UI (UTI - 3 FRASCOS AMPOLA/DOSE),Polimixina B,130,5
Vancomicina 50mg/ml Colírio Fortificado Frasco 5ml - Manipulado,Vancomicina,125,3
Brometo de N-butilescopolamina + Dipirona  amp 5 ml,"Brometo de N-butilescopolamina, Dipirona",123,14
"DOBUTAMINA 12,5MG/ML - AMP 20ML",Dobutamina,122,4
MC: EDISTRIDE 10 ,Empagliflozina,113,7
Cefuroxima Axetil 500mg cp,Cefuroxima Axetil,116,7
NICOTINA 21MG ADESIVO,Nicotina,114,3
Diclofenaco sódico 25mg/mL inj. ampola c/ 3mL,Diclofenaco sódico,127,7
"DOBUTAMINA 250MG/20ML INJ + SF 0,9% 250ML",Dobutamina,128,4
BROMOPRIDA 10MG/2ML AMP 2ML,Bromoprida,120,5
"DEXAMETASONA 0,1% CREME BISNAGA 10G",Dexametasona,126,5
Biotina 10mg/mL Sol oral 30mL (Não Padrão),Biotina,124,3
CAPTOPRIL 25 MG COMPRIMIDO,Captopril,116,3
Cetoprofeno 50mg caps,Cetoprofeno,114,5
"Acetato de Fludrocortisona 0,1mg cp",Fludrocortisona,121,6
MISOPROSTOL 25MCG - COMPRIMIDO VAGINAL,Misoprostol,122,4
MICAFUNGINA 100MG,Micafungina,113,4
DIAZEPAM 10MG - COMP,Diazepam,115,3
Racecadotrila 30mg Sache,Racecadotrila,114,4
FLUCONAZOL 200 MG FR 100 ML,Fluconazol,117,5
Vaselina Pomada 20g,Vaselina,113,3
MC: BACTRIM 40080MG ,Sulfametoxazol e Trimetoprima,116,13
LEVEMIR FlexPen 100 UI/mL Sol inj 3mL (caneta) (Alta Vigilância),Insulina detemir,132,6
SACARATO OXIDO FERRICO (100MG Ferro elementar)  AMP 5ML 20 mg/mL,Sacarato de óxido férrico,131,10
Nitrofurantoína 100mg Cp,Nitrofurantoína,115,6
PYLORIPAC 14 BLISTER,"Clarithromycin, Amoxicilina, Lansoprazol",114,14
Combiron Gotas Fr. 30mL,Ferro + Ácido Fólico,115,8
"MOXifloxacino, CLORIDRATO DE 400MG/250ML - EV",Moxifloxacino,126,6
"CLONAZEPAM 2,5 MG/ML FR (RIVOTRIL)",Clonazepam,125,4
"Deltametrina 0,2mg/mL -100mL Loção",Deltametrina,122,5
Resolor 1mg Comp. Revestido,Prucaloprida,115,6
CETAMINA (dextrogira)/ESCETAMINA EV/IM AMP 10ML 50 mg/mL,Cetamina,129,3
TIOSSULFATO DE SODIO SOLUCAO INJETAVEL 250MG/ML (25%) 10ML ,Tiossulfato de Sódio,136,9
"DEXAMETASONA 4MG/ML 2,5ML AMP EUROFARMA             ",Dexametasona,127,5
Cranberry 500mg Cap (Não Padrão),Cranberry,117,3
Fenitoina 20mg/mL 60mL FR gotas (manipulado),Fenitoína,125,5
MORFINA 30 MG COMPRIMIDO *NP,Morfina,117,3
CARBONATO DE LÍTIO 300 MG COMP,Carbonato de Lítio,118,6
METOPROLOL SUCCINATO 50 MG CMP,Metoprolol,118,4
HIDRATACAO S.G. 5% 250ML+NACL10%+KCL10%+GLUC.CA10%+GLIC.50%,"Soro glicosado, cloreto de sódio, cloreto de potássio, gluconato de cálcio, glicerol",141,34
DEXTROCETAMINA 50MG/ML SOL INJ EV 2ML,Dextrocetamina,123,5
VARFARINA SÓDICA 5MG CP,Varfarina Sódica,117,6
CEFEPIMA 1G/10ML FA (MAXCEF) (INFANTIL)ENDOVENOSO,Cefepima,130,4
Doxazosina 2 mg cpr,Doxazosina,115,5
IMAtinibe 400 mg cap (QT),Imatinibe,116,3
Omnaris 50mcg/dose Susp nasal spray (120 doses) (Não Padrão),Ciclesonida,126,4
MIDAZOLAM SOLUCAO INJETAVEL 5MG/ML 3ML @,Midazolam,127,4
MEROPENEM 1G - Infantil,Meropenem,114,3
"AFLIBERCEPTE 40MG/ML 0,05 ML INTRAVITRIA",Aflibercepte,126,5
Ácido Tranexâmico 250mg Comprimido  - Ems,Ácido Tranexâmico,121,6
SOLUCAO PURA DE PROPOFOL (10MG/ML) - MPP,Propofol,125,3
Vitamina do complexo B - Drageas,Complexo de Vitaminas B,115,6
Adiloz 600mg Cpr Rev,Ibuprofeno,114,5
ACEBROFILINA 50MG/5ML SOLUÇÃO ORAL,Acebrofilina,122,4
Amoxicilina 250mg/5ml Susp. Oral Frasco C/ 150ml *,Amoxicilina,126,4
OLEO DE GIRASSOL 2% - 50GR - NP,Óleo de Girassol,121,6
UTROGESTAN (PROGESTERONA) 200MG COMP,Progesterona,119,3
MEDICAMENTO NAO CADASTRADO  ,"Não é possível identificar a substância ativa, pois o medicamento não está cadastrado.",116,20
ANFORTERICINA B 50MG - PÓ PARA SOLUÇÃO INJETÁVEL - VIA ENDOVENOSA - FRASCO AMPOLA,Anfotericina B,139,5
SORO RINGER LACTATO C/ 500ML (SOROTERAPIA),Lactato de Ringer,125,6
"Isossorbida, dinitrato 10mg cp.",Dinitrato de isossorbida,119,9
DISFOSTATO DE CLOROQUINA 150MG COMP,Cloroquina,119,3
(Do paciente ) Espironolactona 100 mg cap,Espironolactona,118,5
SUPOSITORIO DE GLICERINA ADULTO,Glicerina,117,3
"Gyno Iruxol 0,6 UI/g + 10 mg/g Pomada Ginecológica Bisnaga 30g",Colagenase + Cloranfenicol,135,8
DULoxetina 30mg/ml - Frasco 30ml - Manipulado,Duloxetina,123,5
VALIUM 10MG 30 CP B1,Diazepam,116,3
"Guaco herbarium 0,5mL/5mL Xpe 120mL (Não Padrão)",Extrato de Guaco,132,6
ALBUMINA HUMANA 20% 50ML IV,Albumina Humana,118,4
GANciclovir 500 mg fr/amp,Ganciclovir,117,5
Lenvima 4mg Cápsula Dura,Lenvatinibe,117,4
DimeniDRINATO IM 50MG+ VIT B6 50MG AMP 1ML  ,Dimenidrinato,127,5
TRAStuzumabe 440MG SOL. INJ,Trastuzumabe,118,5
AMPICILINA PO PREPARACAO EXTEMPORANEA 50MG/ML 60ML,Ampicilina,127,5
"MitoMIcina 0,03% Frasco-ampola",Mitomicina,120,3
LORazepam 1mg Cap (Med. Controlado) (Não Padrão),Lorazepam,125,4
Cardizem SR 90mg Cápsula de Liberação Prolongada,Diltiazem,123,4
"FOSFATO TRIBASICO DE CALCIO 12,9% 100ML ",Fosfato Tribásico de Cálcio,125,12
TIGECICLINA 50MG/5ML PO LIOFILIZADO FR AMP,Tigeciclina,126,5
CLOR.METFORMINA 500MG 30CP PRATI GEN,Metformina,121,3
CETAMINA SOL INJ 500MG/10ML,Cetamina,117,3
AMPICILINA CAPSULA 500 mg,Ampicilina,115,5
"FENTANILA 0,5 MG - AMPOLA 10ML SEM CONSERVANTE",Fentanila,125,4
Fitoscar 60mg/g Pomada Bisn. 50g,Centella asiatica,120,4
ALPROSTADIL 20 MCG/ML 1ML AMP,Alprostadil,120,4
CEFAZOLINA 1G FR AMP - UTIN,Cefazolina,118,4
MONOCORDIL 40MG CP,Mononitrato de Isossorbida,113,9
"Candesartana Cilexetila 16mg + hidroCLOROTiazida 12,5mg Comprimido","Candesartana Cilexetila, Hidroclorotiazida",133,18
LOSARTANA 50 MG COMPRIMIDO,Losartana,115,3
Fosfato Dissodico de Dexametasona 2mg/ml 1ml,Dexametasona,125,5
CLORIDRATO DE PROMETAZINA COMP C/25MG,Prometazina,120,4
SOLUCAO HEPARINA (50UI/mL) - 100mL  ALTA VIGILANCIA,Heparina,131,3
Coltrax 4mg/2ml  amp 2 ml,Tiocolchicosídeo,119,6
BROMAZEPAM 3MG CP,Bromazepam,114,4
Hidantal 100mg Comprimido,Fenitoína,114,5
AGUA BIDESTILADA AMP 10 ML,Água bidestilada,116,6
METOPROLOL (TARTARATO) 10MG/ML 30 ML FR,Metoprolol,125,4
MPP:  TEGRETOL 200MG (CARBAMAZEPINA),Carbamazepina,124,5
Solução Fosfato Para Preparo Intestinal Frasco 45ml - Manipulado,Fosfato de sódio,125,8
Morfina Sulfato 10mg Injetavel - Ampola Com 1ml,Morfina,124,3
Albendazol 400mg comprimido,Albendazol,115,5
AnLODIPina 5mg cp,Anlodipina,114,4
MEDICAMENTO DO PACIENTE,"Desculpe, mas você não forneceu o nome de um medicamento específico. Por favor, forneça o nome de um medicamento para que eu possa identificar a substância ativa mais provável.",113,47
"EXElon Patch 15cm (13,3mg/24h) Adesivo (Med. Controlado)",Rivastigmina,130,5
EMULSAO AGAR-AGAR 50ML,Agar-Agar,117,4
BROM. DE ROCURONIO 10MG/ML SOL. INJETAVEL FA 10ML,Rocurônio,129,5
Norvasc 5mg Cp (Não Padrão),Amlodipina,118,5
Deflazacorte 6mg Cp,Deflazacorte,114,5
ARIPIPRAZOL COMPRIMIDO 10MG @,Aripiprazol,119,5
LEVOTIROXINA SODICA 50MCG/1ML SUSPENSAO,Levotiroxina Sódica,126,9
"IODOPOVIDONA 2,5% COLÍRIO 5ML 25 MG/ML FR",Iodopovidona,128,5
HIDROXIZINA CLORIDRATO 2MG/ML 120ML XAROPE,Hidroxizina,127,5
"TERLIPRESSINA  5 ML ,2 MG/ML FRA",Terlipressina,121,4
BUDESONIDA  50MCG AEROSOL ORAL,Budesonida,120,4
"FLUMAZENIL 0,1 MG/ML 5 ML (0,5 MG) - AMP",Flumazenil,128,4
Valsartan potássico 160mg cp. (NÃO PADRONIZADO),Valsartan,126,3
(Do paciente) Mesalazina 500 mg supositório,Mesalazina,119,4
Venlafaxina 150mg  Cápsula De Liberação Prolongada,Venlafaxina,125,5
"PIPERACILINA+TAZOBACTAM 4G+0,5G SOL.INJ",Piperacilina Tazobactam,128,10
CLORETO DE POTASSIO 10% 10ML,Cloreto de Potássio,119,8
Ferinject 50mg/ml Ampola 10ml Inj.,Ferricarboximaltose,119,8
 ,Total: ,121636,5986
