medicamento,substancia_correta,llm_response,acertou
Simeticona 75mg/mL Gts ,SIMETICONA,Simeticona,1
"CLONAZEPAM 2,5MG/ML",CLONAZEPAM,Clonazepam,1
FENOFIBRATO 250MG CPR,FENOFIBRATO,Fenofibrato,1
MitoXANtrona 20mg Inj.,MITOXANTRONA,MitoXANtrona,1
Fluconazol 200mg (2mg/ml) Bolsa 100ml - Halex Istar,FLUCONAZOL,Fluconazol,1
SUCCINATO SODICO DE HIDROCORTISONA 500MG (AMPOLA),HIDROCORTISONA SUCCINATO SODICO,Hidrocortisona,0
Alteplase 50mg Injetavel,ALTEPLASE,Alteplase,1
sulfato FERROSO (60MG DE FERRO ELEMENTAR),SULFATO FERROSO,Ferro,1
AMIODARONA 150MG/3ML AMP (DOSE DE MANUTENCAO),AMIODARONA,Amiodarona,1
DipiRONA SOLUCAO INJETAVEL 500MG/ML 2ML,DipiRONA,Dipirona,1
Módulo Lactopró - Probiatop Sachê 1 G ( Lactobacillus ),LACTOBACILLUS PARACASEI + LACTOBACILLUS RHAMNOSUS + LACTOBACILLUS ACIDOPHILUS + BIFIDOBACTERIUM LACTIS,Lactobacillus,0
PREGABALINA 75MG CPR,PREGABALINA,Pregabalina,1
PRAVASTATINA 10 mg,PRAVASTATINA,Pravastatina,1
IBUPROFENO 50MG/ML SOL ORAL FR 30ML (ALIVIUM),IBUPROFENO,Ibuprofeno,1
AMOXICILINA+CLAVULANATO 500 + 125 MG COMPRIMIDO,AMOXICILINA + CLAVULANATO POTASSIO,Amoxicilina + Clavulanato,1
Topiramato 50mg cp,TOPIRAMATO,Topiramato,1
CETILPERIDINO 25MG/ML SOLUCAO COLUTORIA DOSE 10 ML,CLORETO DE CETILPIRIDINIO,Cetilpiridínio,1
"Onicit NVPO 0,075mg/1,5mL Sol inj",PALONOSETRONA,Palonosetron,1
AGUA BIDESTILADA FRASCO C/ 1000ML,AGUA DESTILADA,Água,1
CETUXimabe 5mg/mL,CETUXIMABE,Cetuximabe,1
VORICONAZOL 200MG,VORICONAZOL,Voriconazol,1
LEVOMEPROMAZINA COMPRIMIDOS,LEVOMEPROMAZINA (METOTRIMEPRAZINA),Levomepromazina,1
FLUoxetina 20 MG COMPRIMIDO,FLUOXETINA,Fluoxetina,1
Perindopril 4mg Cp (Não Padrão),PERINDOPRIL ARGININA (PERINDOPRIL ERBUMINA),Perindopril,1
AZITromicina 500 mg comprimido revestido,AZITROMICINA,Azitromicina,1
PANTOprazol 40mg Frasco-ampola #,PANTOPRAZOL,Pantoprazol,1
CARBOplatina 10mg/ml 15ml sol. Inj - QT,CARBOPLATINA,Carboplatina,1
PredniSONA 5mg Comprimido - Ems,PredniSONA,Prednisona,1
"ESCITALOPRAM, OXALATO COMPRIMIDO C/10MG",ESCitalopram,Escitalopram,1
Empagliflozina 10 Mg Cp,empagliflozina ,Empagliflozina,1
MC: AAS 81MG ,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico,1
Aldomet 500 Mg Cp.,METILDOPA,Metildopa,1
IODETO DE POTASSIO 200MG - XAROPE  FR 100 ML,IODETO POTASSIO,Iodeto de Potássio,1
GLIMEPIRIDA 4MG 30 CP CIMED GEN,GliMEPIRida,Glimepirida,1
DIGOXINA 0.25MG CPR,DIGOXINA,Digoxina,1
BROMOPRIDA 5MG/ML 2ML CARRO EMERG AD 02 TERREO,BROMOPRIDA,Bromoprida,1
benzilpenicilina BENZATINA 1200000UI PO LIOFILIZADO FA,BENZILPENICILINA BENZATINA,Benzilpenicilina Benzatina,1
Água,AGUA PARA INJECAO,Água,0
Escopolamina 10 mg/mL fr 20 mL,ESCOPOLAMINA (HIOSCINA),Escopolamina,1
Xylestesin 10% Fr 50 Ml Spray ( Lidocaína ),LIDOCAINA CLORIDRATO,Lidocaína,1
Tetralysal 300mg Cápsula,Limeciclina,Limeciclina,1
COMPLEXO PROTROMBINICO PO LIOFILO INJETAVEL 500UI+DILUENTE 20ML,COMPLEXO PROTROMBINICO,Complexo Protrombínico,1
SINvastatina 40MG CP,SINVASTATINA,Sinvastatina,1
TERLIPRESSINA ACETATO 1MG FR-AMP,TERLIPRESSINA,Terlipressina,1
OXACILINA 500MG (FRASCO) IV,OXACILINA SODICA,Oxacilina,1
LACTOBACILLUS ACIDOPHILUS+RHAMNOSUS+BIFIDOBACTERIUM+POLIDEXTROSE 1 g,LACTOBACILLUS ACIDOPHILUS + RHAMNOSUS + BIFIDOBACTERIUM + POLIDEXTROSE,"Lactobacillus Acidophilus, Rhamnosus, Bifidobacterium, Polidextrose",1
FENOBARBITAL 100MG - COMPRIMIDO,FENOBARBITAL,Fenobarbital,1
"ESPIRAMICINA 1,5 MUI (500MG) COMPRIMIDO",ESPIRAMICINA,Espiramicina,1
CASSIA ANG.+CASSIA FIS.+TAMARIN.+CORIAN. CPR,CASSIA SENNA + CASSIA FISTULA + TAMARINDUS + CORIANDRUM + PERIANDRA,"Sene, Cássia e Tamarindo",0
METOCLOPRAMIDA 5MG/ML C/2ML INJ,METOCLOPRAMIDA,Metoclopramida,1
"BICARBONATO DE SODIO 8,4% SOL. P/ HEMODIALISE FR 6,2L",BICARBONATO DE SODIO,Bicarbonato de Sódio,1
CARBAMAZEPINA CR 400MG COMPRIMIDO,CARBAMAZEPINA,Carbamazepina,1
TRIANCINOLONA (ACETONIDA) 1MG/G,TRIANCINOLONA (TOPICO),Triancinolona Acetonida,1
Trometamina Cetorolaco Sl 10mg cp,CETOROLACO DE TROMETAMINA,Cetorolaco de Trometamina,1
MC: FORXIGA 1CPCEDO ,DAPAGLIFLOZINA,Dapagliflozina,1
Imunoglobulina Humana 5g (10%) Frasco 50ml,IMUNOGLOBULINA HUMANA,Imunoglobulina Humana,1
LEVOFLOXACINO 5MG/ML 150ML SOL.INJ,LEVOFLOXACINO,Levofloxacino,1
SULFATO DE AMICACINA 250MG/ML - 2ML (500MG) – SOLUÇÃO INJETÁVEL - AMPOLA,AMICACINA ,Amicacina,1
Lidocaina 2% C/V 20 ml FA,LIDOCAINA CLORIDRATO,Lidocaina,1
METFORMINA 850 MG - COMP,METFORMINA,Metformina,1
REGENCEL( ACIDO RETINOICO + ASSOCIACOES ) POMADA OFTALMICA,ACIDO RETINOICO (TRETINOINA),Ácido Retinoico,1
CLORIDRATO DE METOCLOPRAMIDA 5MG/ML - 2ML (10MG) – SOLUÇÃO INJETÁVEL - AMPOLA,METOCLOPRAMIDA,Metoclopramida,1
NORVASC 5MG CPR,ANLODIPINO,Amlodipina,1
FOSFATO POTASSICO 10ML (2 MEQ/ML) AMP,FOSFATO DE POTASSIO,Fosfato de Potássio,1
Linezolida 600mg/300mL Sol inj,LINEZOLIDA,Linezolida,1
Tridil 25mg Inj. Ampola C/ 5ml,NitroGLICERINA,Nitroglicerina,1
Delabaxi (delafloxaxino) 300mg ampola,DELAFLOXACINO,Delafloxaxino,0
Tetraciclina 500 Mg Cp.,Tetraciclina,Tetraciclina,1
"DEXAMETASONA 10MG/2,5ML",DEXAMETASONA,Dexametasona,1
ZOLTEC 150MG CAPS GEL-FLUCONAZOL,FLUCONAZOL,Fluconazol,1
Akineton 2mg Cp.,BIPERIDENO,Biperideno,1
"DEXAmetasona 4mg/ml Amp 2,5ml",DEXAMETASONA,Dexametasona,1
DECADRON 4MG COMPRIMIDO,DEXAMETASONA,Dexametasona,1
FENITOINA 100MG - COMPRIMIDO,FENITOINA,Fenitoína,1
CefaLOTina 1G SOL INJ EV,Cefalotina,Cefalotina,1
CETOCONAZOL 20MG/G CREME,CETOCONAZOL (TÓPICO),Cetoconazol,1
BEVAcizumabe 400mg/16ml Fr-Amp (Convenio),BEVACIZUMABE,Bevacizumabe,1
"NEOSTIGMINA (0,5MG/1ML) 0.5 mg/mL",NEOSTIGMINA,Neostigmina,1
Acido Epsilon AMINOcaproico 4G SOL INJ,ACIDO AMINOCAPROICO,Ácido Epsilon Aminocapróico,1
FentaNILA 250MCG/5ML AMP,FENTANILA,Fentanila,1
"Vasopressina 20 U/ml, amp 20UI/ml",Vasopressina,Vasopressina,1
BuPROPiona Cloridrato 150mg cp,BuPROPiona,Bupropiona,1
AMOXICILINA SUSP ORAL 250MG/5ML FR 150ML,AMOXICILINA,Amoxicilina,1
DIMORF 10 MG/ML AMP 1 ML,SULFATO DE MORFINA,Morfina,1
ALBENDAZOL 40MG/ML SUSP. ORAL,ALBENDAZOL,Albendazol,1
LEVOFLOXACINO 750MG/100ML BOLSA,LEVOFLOXACINO,Levofloxacino,1
Olmesartana 40mg + HidroCLOROTiazida 25mg Comprimido Revestido,OLMESARTANA+ HIDROCLOROTIAZIDA,"Olmesartana, Hidroclorotiazida",1
FAULDFLUOR 2500MG,FLUOROURACILA,Fluoreto de Sódio,0
Cinetol 5 Mg/ml Amp.,BIPERIDENO,Biperideno,1
fenoterol + ipratropio 0.05 + 0.02 mg/dose aerossol oral tubo 10mL,IPRAtropio +FENOTEROL,"Fenoterol, Ipratropio",1
"IMATINIB, MESILATO 100MG COMPRIMIDO - NP",IMATINIBE,Imatinib,1
CLINDAMICINA 600MG/4ML,CLINDAMICINA,Clindamicina,1
"Olmesartana 20mg + HidroCLOROTiazida 12,5mg Comprimido Revestido",OLMESARTANA+ HIDROCLOROTIAZIDA,"Olmesartana, Hidroclorotiazida",1
Monoetanolamina 50mg/mL inj. ampola c/ 2mL,OLEATO DE MONOETANOLAMINA,Monoetanolamina,0
"Clonazepam 20ml (2,5mg/ml) Gts",CLONAZEPAM,Clonazepam,1
"Lidocaína 50mg/g + Hidrocortisona Acetato 2,5mg/g + Alumínio 35mg/g + Óxido de Zinco 180mg/g Pomada Bisnaga 25g",LIDOCAINA + ACETATO DE HIDROCORTISONA + OXIDO DE ZINCO + SUBACETATO DE ALUMINIO (TOPICO),"Lidocaína, Hidrocortisona Acetato, Alumínio, Óxido de Zinco",1
IRRITRATIL 200MG 60 CAP,TRIMEBUTINA,Hidróxido de Alumínio,0
Lidocaína 10% Spray 50ml | Solução Tópica,LIDOCAINA (TOPICO),Lidocaína,1
INSULINA LISPRO DERIVADA-ADN RECOMBINAN 100 UI/ML-MED RISCO,INSULINA LISPRO,Insulina Lispro,1
Dolutegravir Sódico 50 mg cp  revest.,DOLUTEGRAVIR,Dolutegravir,1
Floratil 200mg/g Env 1g (Não Padrão),SACCHAROMYCES BOULARDII,Saccharomyces boulardii,1
"Fenobarbital 200mg/2ml, injetável IV",FENOBARBITAL,Fenobarbital,1
Sotalol 160mg Cp,Sotalol,Sotalol,1
FUROSEMIDA 10MG/ML - 2ML – SOLUÇÃO INJETÁVEL - VIA ENDOVENOSA OU INTRAMUSCULAR - AMPOLA,FUROSEMIDA,Furosemida,1
DEXAmetasona 2mg (2mg/ml) Ampola 1ml,DEXAMETASONA,Dexametasona,1
ALBENDAZOL 400MG COMPRIMIDO,ALBENDAZOL,Albendazol,1
MEPERIDINA 100MG 2ML (CLOR.) - AMP.,PETIDINA (MEPERIDINA),Meperidina,1
Acetilcisteina-n 600 Mg/5g Env,ACETILCISTEINA,Acetilcisteína,1
BuPROPiona 50mg Cap (Med. Controlado) (Não Padrão),BuPROPiona,Bupropiona,1
Enalapril 1mg/mL Sol oral 100mL (Não Padrão),ENALAPRIL MALEATO,Enalapril,1
"DIGOXINA 0,25MG - COMPRIMIDO SULCADO",DIGOXINA,Digoxina,1
ACIDOS GRAXOS ESSENCIAIS (AGE)+TCM+VIT A+VIT E SOL FR 20ML,ACIDOS GRAXOS + RETINOL (VITAMINA A) + TOCOFEROL (VITAMINA E) (TOPICO),"Ácidos Graxos Essenciais, Triglicerídeos de Cadeia Média, Vitamina A, Vitamina E",1
ERITROPOETINA SOL INJ 40000UI/ML SER SUBCUTANEO,ALFAEPOETINA (ERITROPOETINA),Eritropoetina,1
HIDROXIDO DE ALUMINIO 60MG/ML - SUSPENSAO - FRASCO 100ML,HIDROXIDO DE ALUMINIO,Hidróxido de Alumínio,1
DIAZEPAM 10MG (NP),DIAZEPAM,Diazepam,1
"MP - ADALImumabe 40mg/0,4ml Seringa",ADALImumabe,Adalimumabe,1
"Atrovent 0,25 Mg/ Ml Fr C/ 20 Ml ( Brometo de Ipratrópio )",IPRATROPIO,Brometo de Ipratrópio,1
SIMETICONA EMULSAO 75 MG / ML 15ML,SIMETICONA,Simeticona,1
SERETIDE FR SPRAY 25MCG/125MCG N.P.,SALMETEROL + FLUTICASONA,Salmeterol e Fluticasona,1
Cetuximab 100 mg/20 mL (Anticorpo Monoclonal),CETUXIMABE,Cetuximab,1
DIPROPIONATO DE BECLOMETASONA  - CLENIL SPRAY FR 250MCG N.P.,beclometasona,Dipropionato de Beclometasona,1
BENZOCAINA GEL 200 MG/G 12G (SABOR MENTA),BENZOCAINA,Benzocaína,1
"FLUMAZENIL 0,1MG / ML 5ML IV",FLUMAZENIL,Flumazenil,1
BENALET - PASTILHAS,DIFENIDRAMINA + AMONIO + CITRATO DE SODIO,"Difenidramina, Cloridrato de Amônio, Benzoato de Sódio",0
"CLORIDRATO DE NAFAZOLINA 0,5 mg/ml",NAFAZOLINA,Nafazolina,1
AMOXICILINA+CLAVULANATO DE POTASSIO 500+125 MG,AMOXICILINA + CLAVULANATO POTASSIO,Amoxicilina + Clavulanato de Potássio,1
Glicinato férrico + associações Susp oral 120mL,GLICINATO FERRICO + CIANOCOBALAMINA (VITAMINA B12) + DEXPANTENOL (VITAMINA B5) + NICOTINAMIDA + NITRATO DE TIAMINA (VITAMINA B1) + RIBOFLAVINA (VITAMINA B2),Glicinato férrico,0
CISPLATINA 1MG/ML 50ML FA,CISPLATINA,Cisplatina,1
Metilcelulose 2% soluçao oftalmica - fr 10mL 20 mg/mL,METILCELULOSE (OFTÁLMICO),Metilcelulose,1
Valproato de Sódio 500mg,VALPROATO DE SODIO,Valproato de Sódio,1
SULFATO FERROSO 300MG (60MG DE FERRO ELEMENTAR) DRAGEA NP,SULFATO FERROSO,Sulfato Ferroso,1
Omeprazol 40mg FA,OMEPRAZOL,Omeprazol,1
Ácidos Graxos Essenciais Loção Hidratante Bisnaga 30g,ACIDOS GRAXOS ESSENCIAIS (TOPICO),Ácidos Graxos Essenciais,1
LOSARTAN 50MG COMP,LOSARTANA,Losartan,1
Digedrat 200mg Cap (Não Padrão),TRIMEBUTINA,Metoclopramida,0
Hidro-beta-metil-butirato (hmb) 3g Sachê - Manipulado,METILBUTIRATO,Hidroxi-Metil-Butirato,1
TROPINAL SOL ML,ESCOPOLAMINA + DIPIRONA,Hioscina,1
Finasterida 5mg cp,FINASTERIDA,Finasterida,1
"DENOSUMABE SOLUCAO INJETAVEL 120MG/1,7ML##®",DENOSUMABE,Denosumabe,1
FENOBARBITAL (800MG/ 20ML) 40 mg/mL,FENOBARBITAL,Fenobarbital,1
AloPURinol 100MG,AloPURinol,Alopurinol,1
AZITromicina 500MG VO,AZITROMICINA,Azitromicina,1
ETOPOSIDO 100MG QT,ETOPOSIDEO,Etoposido,1
DEXTROCETAMINA 50MG/ML - F/A 10ML,DEXTROCETAMINA (ESCETAMINA),Dextroanfetamina,0
DIPIRONA 500 MG COMP,DipiRONA,Dipirona,1
DOPamina 50MG / 10ML 10ML (MED. ALTO RISCO),DOPamina,Dopamina,1
DIAZEPAM 10MG/2ML SOL INJ IV,DIAZEPAM,Diazepam,1
REMINIL ER 24 MG (NP),galantamina ,Galantamina,1
Uso Dom.: PERIVASC 1000MG,DIOSMINA + HESPERIDINA,Ácido Aminocapróico,0
TRASTUzumabe 600mg/5mL,TRASTUZUMABE,Trastuzumabe,1
Prontosan Solução 350 ml,POLI-HEXANIDA,Poliaminoácido e Undecilenamidopropil Betaína,0
"Clindamicina, cloridrato de, 300 mg ",CLINDAMICINA,Clindamicina,1
DipiRONA 500mg/mL Frasco 20mL | Solução Oral,DipiRONA,Dipirona,1
Lisodren (Mitotano) 500mg comprimido,MITOTANO,Mitotano,1
FENITOINA 100MG COMP (HIDANTAL),FENITOINA,Fenitoína,1
GANciclovir 1mg/mL Sol Inj 100mL (bolsa),GANCICLOVIR,Ganciclovir,1
Protamina 1000UI/mL - 5mL,PROTAMINA,Protamina,1
FENOTEROL 5MG/ML (SOL P/ NEBULIZAÇÃO) - FR 20ML,FENOTEROL,Fenoterol,1
ACIDO ACETILSALICILICO 100MG,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico,1
DipiRONA  INJETAVEL 2 ML 500 MG/ML AMP,DipiRONA,Dipirona,1
FITOMENADIONA (VIT K) 10MG/ML 1ML - USO IM,FITOMENADIONA (VITAMINA K),Fitomenadiona,1
Pomalidomida 4mg Cápsula,POMALIDOMIDA,Pomalidomida,1
IODO POVIDONA 5% SOL OFTALMICA,IODOPOVIDONA (OFTALMICO),Iodo Povidona,1
Biperideno 5 mg/mL amp 1 mL (Port344/98),BIPERIDENO,Biperideno,1
"BICARBONATO DE SODIO 8,4% 10ML",BICARBONATO DE SODIO,Bicarbonato de Sódio,1
FENOBARBITAL  40MG / ML GTS,FENOBARBITAL,Fenobarbital,1
Flagyl Nistatina Creme Vaginal Bisnaga 50g,METRONIDAZOL + NISTATINA (TOPICO),"Metronidazol, Nistatina",1
Cefalexina 50mg/mL - 100mL,Cefalexina,Cefalexina,1
ACIDO ASCORBICO 100 MG/ML - 5ML (500 MG) - AMP,ACIDO ASCORBICO (VITAMINA C),Ácido Ascórbico,1
"Pegfilgrastim 6 mg solucao injetavel seringa 0,6 mL ",PEGFILGRASTIM,Pegfilgrastim,1
Levetiracetam 100 mg/mL sol. oral,LEVETIRACETAM,Levetiracetam,1
Dexalgen (Ampola I e II),DEXAMETASONA + DIPIRONA + HIDROXOCOBALAMINA,"Dexametasona, Cloridrato de Tiamina, Cloridrato de Piridoxina, Cianocobalamina",0
Sulfato Ferroso 40mg comprimido,SULFATO FERROSO,Ferro,0
[MPP] SOL. GLICOSE 75% AMP 10 ML,SOLUCAO DE GLICOSE (SORO GLICOSADO),Glicose,1
ACIDO TRANEXAMICO 50MG/ML - AMP 5ML,ACIDO TRANEXAMICO,Ácido Tranexâmico,1
CIPROFLOXACINO CLORIDRATO COMPRIMIDO REVESTIDO 500MG,CIPROFLOXACINO  ,Ciprofloxacino,1
"Cloreto de potassio 60 mg/mL (0,6 meq/mL) fr 150 mL",CLORETO DE POTASSIO,Cloreto de potassio,1
ESCOPOLAMINA 10MG + DIPIRONA 250MG - COMPRIMIDO,ESCOPOLAMINA + DIPIRONA,"Escopolamina, Dipirona",1
LIDOCAINA GELEIA 2%  5G(DOSADORA),LIDOCAINA (TOPICO),Lidocaína,1
"BRAVAN HCT 80MG/12,5MG 30 CP REV",VALSARTANA +HIDROCLOROTIAZIDA,Valsartana e Hidroclorotiazida,1
Terlipressina 1mg Frasco-ampola + Diluente Ampola 5ml,TERLIPRESSINA,Terlipressina,1
Protamina 1000ui/ml 5ml Amp,PROTAMINA,Protamina,1
OXCARBAZEPINA 300MG CP,OXCARBAZEPINA,Oxcarbazepina,1
CETOPROFENO 50 MG CAPSULA,CETOPROFENO,Cetoprofeno,1
"ELIQUIS 2,5MG 20 CP REV",APIXABANA,Apixabana,1
"CloNIDina 0,100mg cp.",CLONIDINA,Clonidina,1
"Fenoterol 0,5% FR 20 mL",FENOTEROL,Fenoterol,1
Succinato De Metoprolol 50mg Cp,METOPROLOL SUCCINATO,Metoprolol,0
Ciprofloxacino 500mg Cp.,CIPROFLOXACINO  ,Ciprofloxacino,1
metoclopramida 10 mg comprimido,METOCLOPRAMIDA,Metoclopramida,1
COBALAMINA CRONOATIVA 5 mg/mL,CIANOCOBALAMINA (VITAMINA B12),Cobalamina,1
Aciclovir 250MG SOL.INJ,ACICLOVIR,Aciclovir,1
COMPL. VITAM. A+B ADULTO - POLIVITAMINICOS,POLIVITAMINICO,Vitaminas A e B,1
Atorvastatina 10mg Comprimido,ATORVASTATINA,Atorvastatina,1
ASPARTATO DE ARGININA 500 mg,ARGININA,Aspartato de Arginina,1
ClorproMAZINA CLORIDRATO SOLUCAO ORAL 40MG/ML 20ML @,ClorproMAZINA,Clorpromazina,1
"SORO FISIOLOGICO 0,9% 500ML - SOROTERAPIA","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
Flutamida 250mg Cpr,FLUTAMIDA,Flutamida,1
"BETAmetasona 0,5mg/g + Gentamicina 1mg/g Creme Bisnaga 30g - Medley",GENTAMICINA + BETAMETASONA (TOPICO),"Betametasona, Gentamicina",1
HEMITARTARATO DE ZOLPIDEM 10 mg,ZOLPIDEM,Zolpidem,1
Antara EV (LevETIRAcetam) 100 mg/mL 5 mL INJETÁVEL,LEVETIRACETAM,Levetiracetam,1
Hidróxido de Alumínio + Magnésio + Simeticona Fr susp. 240 ml,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + SIMETICONA,"Hidróxido de Alumínio, Magnésio, Simeticona",1
Iressa 250 mg cp (QT),GEFITINIBE,Gefitinib,1
Ciprofloxacino 400mg Inj. Frasco C/ 200ml,CIPROFLOXACINO  ,Ciprofloxacino,1
Fenoterol 100mcg/dose Frasco 200doses/10mL Inalação Oral Aerosol,FENOTEROL,Fenoterol,1
QUETIAPINA 25 mg cpr,QUEtiapina,Quetiapina,1
TC HISC - SEVOFLURANO 1ML/ML SOLUCAO INALATORIA FR 250ML,SEVOFLURANO,Sevoflurano,1
ZOLPIDEM COMP 10MG,ZOLPIDEM,Zolpidem,1
Lokelma 5g Env (Não Padrão),CICLOSSILICATO DE ZIRCONIO SODICO,Saxagliptina,0
IRRITRATIL 200MG 30 CAP GELAT MOLE,TRIMEBUTINA,Butilbrometo de Escopolamina,0
LACTULONA 667MG/ML XAROPE 120ML FR,LACTULOSE,Lactulose,1
Ginkgo Biloba Comprimido 80mg,GINKGO,Ginkgo Biloba,1
Diclofenaco sódico 50mg Cp rev lib retard,DICLOFENACO SODICO,Diclofenaco sódico,1
"ESCOPOLAMINA 20MG + DIPIRONA 2,5G (BUSC.COMPOSTO)",ESCOPOLAMINA + DIPIRONA,"Escopolamina, Dipirona",1
Solução Glicofisiológico 1:1 Frasco 500ml,SOLUCAO GLICOFISIOLOGICA (CLORETO DE SODIO + GLICOSE),"Cloreto de sódio, glicose",1
Naropin 1% (10mg/ml) Ampola 20ml #,ROpivacaina,Ropivacaína,1
Agomelatina Comprimido Revestido 25mg,AGOMELATINA,Agomelatina,1
HEMI. DE NOREPinefrina 2MG/ML SOL. INJETAVEL AMP 4ML,NOREPINEFRINA (NORADRENALINA),Norepinefrina,1
Gabapentina 400mg Cap (Med. Controlado) (Não Padrão),GABAPENTINA,Gabapentina,1
DIAZEPAM 5MG/ML - AMP. 2ML (DIEMPAX) (ADULTO) - MPP,DIAZEPAM,Diazepam,1
DOCETAXEL,DOCETAXEL,Docetaxel,1
GABAPENTINA 300MG (MPP),GABAPENTINA,Gabapentina,1
Atenolol 25mg cpr,ATENOLOL,Atenolol,1
BENZILPENICILINA POTASSICA 5.000.000 UI - FA,BENZILPENICILINA POTASSICA (CRISTALINA),Benzilpenicilina Potássica,1
HIDROCORTISONA 100MG,HIDROCORTISONA SUCCINATO SODICO,Hidrocortisona,0
ACETATO DE TOCOFEROL (E)+COLECALCIFEROL(D)+ VIT A (PURAVIT),TOCOFEROL (VITAMINA E) + COLECALCIFEROL (VITAMINA D) + RETINOL (VITAMINA A)VITAMINA A,"Acetato de Tocoferol, Colecalciferol, Vitamina A",1
FUROSEMIDA 40MG CP,FUROSEMIDA,Furosemida,1
"AZTREONAM FA 1,0G PO INJ - AZANEM (NP)",AZTREONAM,Aztreonam,1
OSCAL (CARBONATO DE CALCIO) 500MG COMP,CARBONATO DE CALCIO,Carbonato de Cálcio,1
QT PREDNISONA 20 MG CPR,PredniSONA,Prednisona,1
NIMODIPINA 30 MILIGRAMAS (COMPRIMIDO),NiMODipino,Nimodipina,1
HIDROCORTISONA 1% CREME - 30G,ACETATO DE HIDROCORTISONA (TOPICO),Hidrocortisona,1
SALMETEROL + FLUTICASONA SPRAY 25/125MCG FR,SALMETEROL + FLUTICASONA,"Salmeterol, Fluticasona",1
Zetia 10mg Comprimido,EZETIMIBA,Ezetimiba,1
Euthyrox 175mcg Comprimido,LevoTIROXina,Levotiroxina sódica,1
Zolpiden 10mg Cp.,ZOLPIDEM,Zolpidem,1
(ALTA VIGILÂNCIA) GLUCONATO CALCIO 10% 10mL 100 mg/mL,GLUCONATO DE CALCIO,Gluconato de Cálcio,1
ACETILCISTEINA GRANULADO 600MG HDJB,ACETILCISTEINA,Acetilcisteína,1
CEFALEXINA 500MG CPR                      ,Cefalexina,Cefalexina,1
LEUPRORRELINA ACETATO PO LIOFILO INJETAVEL 45MG + SERINGA DILUENTE ##,LEUPRORRELINA,Leuprorrelina,1
MEROpenem 1g Frasco-ampola - ABL,MEROPENEM,Meropenem,1
"Proximetacaina 5,0mg/mL - 5mL (Anestalcon)",PROXIMETACAINA (OFTALMICO),Proximetacaina,1
Neozine (LevoMEPROmazina) 25mg Comprimido,LEVOMEPROMAZINA (METOTRIMEPRAZINA),Levomepromazina,1
"VENLAFAXINA 37,5mg COMP **",VENLAFAXINA ,Venlafaxina,1
"CLORETO DE SODIO 0,9% 250ML, SISTEMA FECHADO","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio,1
"DIGOXINA 0,25 mg",DIGOXINA,Digoxina,1
SEVORANE,SEVOFLURANO,Sevoflurano,1
montelucaste 4 mg comprimido mastigavel,MONTELUCASTE,Montelucaste,1
Prostokos 25 mcg  cp vag,Misoprostol,Misoprostol,1
MEGAPEN 5.000.000 FR/AMP INTRAMUSCULAR,BENZILPENICILINA POTASSICA (CRISTALINA),Ampicilina,0
LIDOCAINA 2% S/V FR 20ML,LIDOCAINA CLORIDRATO,Lidocaína,1
NITROGLICERINA 25MG/5ML - SG - (DVA-MPP),NitroGLICERINA,Nitroglicerina,1
CefOTAXima 1000mg FA,CEFOTAXIMA,Cefotaxima,1
OXIDO DE ZINCO + NISTATINA 200MG+100.00UI/G POMADA 60G,NISTATINA + OXIDO DE ZINCO (TOPICO),Óxido de Zinco + Nistatina,1
VINORELBINA 30MG CAPS,TARTARATO DE VINORELBINA,Vinorelbina,1
LOTAR 5/100MG 30 CAP,ANLODIPINO + LOSARTANA,Losartana Potássica / Atenolol,0
ALENIA 12/400MCG,FORMOTEROL,Budesonida + Formoterol,1
OXALiplatina 100 mg fr amp (QT),OXALIPLATINA,Oxaliplatina,1
VACINA ABELHA (HIMENOPTEROS) - 1:10 (10 mcg/ml),VACINA ABELHA,Extrato de Abelha,1
CLORIDRATO DE PAPAVERINA 50MG/ML AMP 2ML,PAPAVERINA,Papaverina,1
CLENIL HFA 200 MCG,beclometasona,Beclometasona,1
Sucralfato 2g Flaconete 10ml,SUCRALFATO,Sucralfato,1
SOLUCAO INSULINA ENDOVENOSA,INSULINA HUMANA NPH,Insulina,1
Atenolol 25mg cp,ATENOLOL,Atenolol,1
MC: ETNA,CITIDINA  + URIDINA + HIDROXOCOBALAMINA,Etna,0
Mononitrato De Isossorbida 20mg Cp.,ISOSSORBIDA,Isossorbida,1
"CLONIDINA 0,1MG COMP",CLONIDINA,Clonidina,1
Benzoilmetronidazol 40mg/ml (25mg/ml de metronidazol) Fr. 80ml,BENZOILMETRONIDAZOL,Metronidazol,0
amOXICIlina (SODICA) PO P/ SUSP ORAL 250MG/5ML - FR 150ML,AMOXICILINA,Amoxicilina,1
Aciclovir 250 MG -  EV,ACICLOVIR,Aciclovir,1
SULPIRIDA 200 MG CMP,SULPIRIDA,Sulpirida,1
RIVAROXABANA 20  mg,RIVAROXABANA,Rivaroxabana,1
Ambrisentana 10mg Comprimido Revestido,AMBRISENTANA,Ambrisentana,1
