medicamento,substancia
GABAPENTINA 300MG - CAPSULA,GABAPENTINA
BUSCOPAN GOTAS,ESCOPOLAMINA (HIOSCINA)
ACIDO VALPROICO 250MG - CAPS,ACIDO VALPROICO (VALPROATO DE SODIO)
Benzoato De Alogliptina 25mg Comprimido Revestido,ALOGLIPTINA
"VARFARINA 2,5mg COMP - ALTA VIGILÂNCIA",VARFARINA SODICA
ZINPASS 20MG 30CP REV,ROSUVASTATINA CALCICA
Hirudoid Gel 500mg Tb. 40g,POLISSULFATO DE MUCOPOLISSACARIDEO  (TÓPICO)
PredniSONA 2mg Cap (Não Padrão),PredniSONA
"HEPARINA 5.000 UI / 0,25ML SC (MED.ALTO RISCO)",Heparina
NISTATINA 100000 UI/g + OXIDO DE ZINCO 200 mg/g,NISTATINA + OXIDO DE ZINCO (TOPICO)
"Atropina 0,5 mg Sol. Inj.l ampola 1ml",ATROPINA
ClorproMAZINA 4% gts (40 mg/mL) fr 20 mL,ClorproMAZINA
ELTROMBOPAGUE 50 MG 50 mg,ELTROMBOPAGUE OLAMINA
MPP:  LAMITOR 150 MG,LAMOTRIGINA
MIBI Tc-99m,PERTECNETATO DE SODIO
(ALTA VIGILÂNCIA) VARFARINA 5 mg,VARFARINA SODICA
RIVAROXABANA 20MG CP,RIVAROXABANA
"Cloridrato De Naloxona 0,4mg/ml Ampola 1ml | Solução Injetável",NALOXONA
"Enoxaparina 20 mg/0,2 mL injetável seringa preenchida 0,2 mL ",ENOXAPARINA SODICA
Fenergan 25mg Cp. Rev.,PROMETAZINA
MC: LOSARTANA 1 ,LOSARTANA
FAULDVINCRI 1MG,VINCRISTINA
Hemitartarato De Metaraminol 10mg/ml Ampola 1ml | Solução Injetável,METARAMINOL
Lidocaína 2% /metilcelulose geléia  tb 30 g (Hipolabor),LIDOCAINA (TOPICO)
"SALBUTAMOL 0,5 MG/ML 1ML - AMP",SALBUTAMOL (ALBUTEROL)
CloZAPina COMPRIMIDO SIMPLES 25MG @,Clozapina
SORO FISIOLOGICO 0.9%500ML PARA ELETROLITOS- BS - NEO,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
IVERMECTINA 6MG -CP,IVERMECTINA
REVOLADE 50MG 14 CP,ELTROMBOPAGUE OLAMINA
Ketamin 100mg (50mg/ml) Amp/2ml Inj.,DEXTROCETAMINA (ESCETAMINA)
Prolive Cápsula ,LACTOBACILLUS
(ALTA VIGILÂNCIA) FOSFATO DE POTASSIO 2 mEq/mL,FOSFATO DE POTASSIO
AFINITOR 10MG 30 CP C,Everolimo
BROMOPRIDA SOL INJ 10MG/2ML AMP,BROMOPRIDA
CROMOGLICATO DISSODICO 2 % + CROMOGLICATO DISSODICO 2 mg/mL,CROMOGLICATO DISSODICO
ABACAVIR COMPRIMIDO 300MG ,ABACAVIR
N-BUTILESCOPOLAMINA 10 MG - COMP,ESCOPOLAMINA (HIOSCINA)
ALTEPLASE (FRAC. 50MG/50 ML - ACTILYSE RTPA)[EM BOLUS],ALTEPLASE
SALMETEROL + FLUTICASONA (25+125) MCG/DOSE SPRAY AEROSOL,SALMETEROL + FLUTICASONA
MetoTREXATO 5000 mg Inj.,METOTREXATO
Tramadol 50mg Cp,TRAMADOL CLORIDRATO
ALMOTOLIA VASELINA,LOCAO HIDRATANTE
Claritromicina 50mg/ml Fr. 60ml,CLARITROMICINA
PALBOCICLIBE 100MG VO QT,Palbociclibe
Ferripolimaltose 100mg/10mL Xpe 120mL,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO)
ESPIRONOLACTONA 25MG,ESPIRONOLACTONA
CefOXitina SODICA 1GR (MEFOXIN),CEFOXITINA
SULFATO FERROSO SOLUCAO ORAL 25MG/ML 30ML,SULFATO FERROSO
CarBAMazepina 20mg/mL Susp 100mL,CARBAMAZEPINA
"BISOPROLOL 1,25 mg",BISOPROLOL
Perjeta 420 Mg Fr/amp,PERTUZUMABE
HEPARINA 5000 UI/ML 5ML EV BOLUS - (MEDICAMENTO DE RISCO),Heparina
Rifamicina 10mg/ml Spray 20ml,RIFAMICINA (TOPICO)
LEVODOPA 100MG + BENSERAZIDA CLORIDRATO 25MG COMPRIMIDO LIBERACAO PROLONGADA,LEVODOPA + BENSERAZIDA
MODULO DE GLUTAMINA ENV 5G,GLUTAMINA
ATENOLOL  25MG - COMP,ATENOLOL
MC: DUOMO  1 ,DOXAZOSINA
Genuxal 50 mg,ciclofosfamida
Domperidona 1mg/ml 100ml Suspensão,DOMPERIDONA
Aciclovir 200mg cp,ACICLOVIR
MPP:  LAMOTRIGINA 100 MG,LAMOTRIGINA
Singulair 10mg Cp Revestido,MONTELUCASTE
"Morfina Sulfato 0,2mg/mL Amp. 1mL",SULFATO DE MORFINA
Abatacepte 250mg Inj,ABATACEPTE
L. ACIDOPHILUS+ BIFIDOBACTERIUM LACTIS 435MG CAPS,LACTOBACILLUS ACIDOPHILUS + LACTOBACILLUS PARACASEI + BIFIDOBACTERIUM LACTIS + BIFIDOBACTERIUM BIFIDUM
"BICARBONATO DE SODIO 8,4% AMP 10 ML",BICARBONATO DE SODIO
DEXAMETASONA,DEXAMETASONA
PEMBROLIZUMAB 100MG/4ML - BI (MEDICAMENTO DE RISCO),PEMBROLIZUMABE
LORATADINA 10MG,LORATADINA
"Piridostigmina, de Brometo 60mg Cpr",PIRIDOSTIGMINA
ADESIVO DE NICOTINA 21MG - NIQUITIN N.P,NICOTINA (TRANSDERMICO)
"CLONAZEPAM 2,5MG/ML - 20ML - SOLUÇÃO - FRASCO-GOTAS",CLONAZEPAM
CLINDAMICINA 600MG/4ML  AMPOLA,CLINDAMICINA
GEFITINIBE 250MG COMP REVESTIDO,GEFITINIBE
"Isossorbida, Dinitrato 10mg Cp.",ISOSSORBIDA
Eritromicina 125mg/5mL Sol oral 250mL (Não Padrão),ERITROMICINA
Propantelina 60mg/g Gel 1g (Não Padrão),PROPANTELINA
"BENZOATO DE ALOGLIPTINA 12,5 mg + CLORIDRATO DE METFORMINA 1000 mg",METFORMINA + ALOGLIPTINA
Metoclopramida 10mg cp,METOCLOPRAMIDA
Enxaguante Bucal Enzimático S/ Alcool E S/ Clorexidina - Frasco 250ml,CLOREXIDINA
VITAMINA K2MK7 60 mcg,MENAQUINONA (VITAMINA K2)
Cobavital 1/4mg Cp (Não Padrão),CIPROEPTADINA + COBAMAMIDA
BETAmetasona Soluspam 6mg/1ml(K),ACETATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA
AMICACINA 250MG/ML 2ML SOL INJ,AMICACINA 
Vildagliptina 50mg,VILDAGLIPTINA
PREGABALINA 75mg CAP**,PREGABALINA
Vitamina K/fitomenadiona Ev 10mg/ml Amp 1ml - Manipulado #,FITOMENADIONA (VITAMINA K)
Tegretol 200mg Comprimido,CARBAMAZEPINA
IBUPROFENO SOL ORAL 50MG/ML,IBUPROFENO
Enalapril 20mg cp,ENALAPRIL MALEATO
QT DOXORRUBICINA INJET. - MPP,DOXORRUBICINA  CLORIDRATO
Hizentra 200mg/mL Sol inj 5mL (Não Padrão),IMUNOGLOBULINA HUMANA
MORFINA 10 MG/ML AMPOLA 1 ML (MPP) - AMPOLA 1ML,SULFATO DE MORFINA
TRAZODONA 50MG COMP,TRAZODONA
ERITROMICINA 250MG/5ML - SUSPENSAO,ERITROMICINA
ZIDOVUDINA 100MG – CAPSULA,ZIDOVUDINA
TARTARATO DE METOPROLOL 1MG/ML (AMPOLA 5ML),METOPROLOL TARTARATO
Okótico 100mg Cp (Med. Controlado) (Não Padrão),Clozapina
GENFIBROZILA COMPRIMIDOS 900 MG DRA,GENFIBROZILA
BROMOPRIDA 10MG CAPS.,BROMOPRIDA
Colagenase c/ Cloranfenicol pomada tubo c/ 30 g,COLAGENASE+CLORANFENICOL (TOPICO)
METOCLOPRAMIDA 10MG 2ML CC,METOCLOPRAMIDA
"Adaptis Fresh 0,4% - Frasco 10ml",HIALURONATO SODICO + FOSFATO MONOSSÓDICO DIIDRATO + FOSFATO DISSODICO ANIDRO + CLORETO DE SODIO + SORBATO DE POTASSIO + AGUA PURIFICADA
Cefiderocol 1g Inj (Importado) (Não Padrão),CEFIDEROCOL
MONOCORDIL 20MG 20 CP,ISOSSORBIDA
"CARVEDILOL 12,5 mg",CarVEDilol
LEVOfloxacino 500MG CP,LEVOFLOXACINO
Aciclovir 50mg/g Creme Bisnaga 10g,Aciclovir (tópico)
DIMESILATO DE LISDEXANFETAMINA 70 mg,LISDEXANFETAMINA
AMICACINA 500MG AMP 2ML - DOSE POS DIALISE,AMICACINA 
Hidroclorotiazida + Amilorida 50/5mg cp.,AMILORIDA CLORIDRATO +HidroCLOROTiazida
TIROXINA 100 MCG,LevoTIROXina
Formoterol 12mcg Cap,FORMOTEROL
Nicotina - Adesivos Transdérmicos - Niquitin 21mg,NICOTINA (TRANSDERMICO)
Permetrina 10mg/g - 60mL,PERMETRINA (TOPICO)
Papaina 20% + Uréia 10% gel 100g,PAPAINA + UREIA (TOPICO)
BETAMETASONA 4MG/1ML - INJETAVEL,BETAMETASONA 
Aciclovir Creme 5% 10g,Aciclovir (tópico)
HIDR MAGNESIO+HIDR ALUMINIO+SIMETICONA SUSP 10ML,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + SIMETICONA
CICLOFOSFAMIDA 1G FA,ciclofosfamida
CISplatina 50MG SOLUCAO INJETAVEL 1MG/ML - FR AMP 50ML,CISPLATINA
PredniSONA 5mg Cp,PredniSONA
Invega Sustenna 100mg/1mL Susp inj lib prolong (Med. Controlado) (Não Padrão),PALIPERIDONA
"Ciprofloxacino Cloridrato 3,5mg/ml Solução Oftálmica Gotas (1 ml = 31 Gotas) Frasco 5ml",ciprofloxacino (OFTÁLMICA)
PANTOPAZ 20MG 28 CP REV LIB RETAR,PANTOPRAZOL
Actilyse rt.PA fr amp 10 mg,ALTEPLASE
RIVAROXABAN COMPRIMIDOS,RIVAROXABANA
Midazolam 5mg/ml 1ml Inj. (fracionado),MIDAZOLAM
ABRILAR L-MENTOL XAROPE 200ML,HEDERA HELIX
Emulsão com oleo de andiroba sache 3g ,CREME PROTETOR
Clorexidina Degermante 2% - Fr/250ml - Hsvp,CLOREXIDINA
Vitamina Complexo B 2mL amp,VITAMINAS DO COMPLEXO B
OLEO DE PEIXE 30 cp + OMEGA 3 30 cp + VITAMINAS E MINERAIS 30 cp,POLIVITAMINICO + MINERAIS
"CLONAZEPAM 0,5 MG",CLONAZEPAM
MEDICAMENTOS DO PACIENTE,MEDICAMENTO DO PACIENTE
VARFARINA 5 MG COMPRIMIDO,VARFARINA SODICA
alBENDAzol 400 MG CP,ALBENDAZOL
PROPOFOL 1% FRASCO 20 MILILITROS - INTRAVENOSO,PROPOFOL
METILDOPA 250 mg,METILDOPA
EM FALTA - CEFALEXINA 250 MG/5ML 100 ML - FR,Cefalexina
ACIDO ASCORBICO 200MG/ML SOLUCAO ORAL DOSE 15 GOTAS,ACIDO ASCORBICO (VITAMINA C)
METOPROLOL SUCCINATO 50 MG COMPRIMIDO,METOPROLOL SUCCINATO
"DESLANOSIDO 0,4MG (0,2MG/ML) AMP 2ML",DESLANOSIDEO
CLOR. DE DOXICICLINA 100MG CAPS,DOXICICLINA
FENOBARBITAL 40MG/ML SOLUCAO ORAL DOSE 50 GOTAS,FENOBARBITAL
"Dobutrex 12,5mg/ml Ampola 20ml",Dobutamina
GENTAMICINA  40MG/ML  AMPOLA 1ML IM,GENTAMICINA
FLUOXETINA SOLUCAO ORAL 20 MG/ML FR,FLUOXETINA
Bextra 40mg Inj,PARECOXIBE
CETOPROFENO 100MG/ML I.V. AMP,CETOPROFENO
"Metoprolol 50 mg cp (RQ) (MPP) , Succinato ",METOPROLOL SUCCINATO
CICLOBENZAPRINA 5 MG CMP,CICLOBENZAPRINA
"Neostigmina 0,5 mg/ml 1ml Inj",NEOSTIGMINA
GLUTAMAX 10G SACHE,GLUTAMINA
Remifentanil 2mg Fr/amp,REMIFENTANILA
"Decadron 10 mg/2,5 mL Fr amp (4 mg/mL)",DEXAMETASONA
BROMOPRIDA 4MG/ML SOLUCAO ORAL DOSE 9 GOTAS,BROMOPRIDA
DEXCLORFENIRAMINA 2MG/5ML SOL ORAL 100ML,DEXCLORFENIRAMINA
ACEPONATO METILPREDNISOLONA  0.1% 1MG/G 15GR,METILPREDNISOLONA
ENDOFOLIN 5MG - CAPSULA,ACIDO FOLICO (VITAMINA B9)
QUIMIOTERAPIA - NOVALGINA 1000MG/2ML AMP 2ML,DipiRONA
TIOPENTAL SODICO 1G PO P/ SOL. INJ. FRASCO AMPOLA (EV),TIOPENTAL
CREON 10.000 U CAPS - PANCREATINA (NP),PANCREATINA
DIPROSPAN 2MG/ML,DIPROPIONATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA
Primaquina 15 mg comprimido (Não Padrão),PRIMAQUINA
ALPROSTADIL 20MCG AMP,ALPROSTADIL (PROSTAGLANDINA E1)
AMOXicilina 500 mg,AMOXICILINA
Bicalutamida 50 mg cp,BICALUTAMIDA
CARBONATO DE CALCIO 1250MG + COLECALCIFEROL 200UI MANIPULADO,CARBONATO DE CALCIO + COLECALCIFEROL (VITAMINA D)
PARACETAMOL COMPRIMIDO 750MG,PARACETAMOL  (ACETAMINOFEM)
GLICERINA ADULTO SUPOSITORIO,GLICERINA (RETAL)
Lidocaina 10% 50 mL Spray Topico,LIDOCAINA (TOPICO)
EVEROLIMO 10MG CP,Everolimo
NALBUFINA 10MG/1ML AMP,Nalbufina
MORFINA 30MG COMP. (DIMORF) - MPP,SULFATO DE MORFINA
LUITEINA 60 cp + ZEAXANTINA 60 cp,LUTEINA + ZEAXANTINA 
SulfADIAZINA DE PRATA 1% 10 MG/G TB,SULFADIAZINA DE PRATA (TÓPICO)
Cetoconazol 20mg/g creme tubo c/ 30g,CETOCONAZOL (TÓPICO)
Cloridrato de Hidroxizina 2mg/ml - Frasco,HIDROXIZINA
Diclofenaco Sódico 50mg Cp rev lib retard,DICLOFENACO SODICO
(MPP) SULFATO DE MAGNESIO 50% EV/IM AMP 10ML 500 mg/mL,SULFATO DE MAGNESIO
"Colchis 0,5 Mg Cp. ( Colchicina )",Colchicina
RiTUXimab 500mg inj. frasco c/ 50mL,RiTUXimabe
CLORETO DE POTASSIO 600MG COMPRIMIDO,CLORETO DE POTASSIO (COMPRIMIDO)
Buscopan 20 mg amp 1 mL,ESCOPOLAMINA (HIOSCINA)
"Cetoconazol 20mg/g + BETAmetasona 0,5mg/g + neomicina 2,5mg/g - 30 g",CETOCONAZOL + BETAMETASONA + NEOMICINA (TOPICO)
SIMETICONA 75MG/ML - 10ML GOTAS,SIMETICONA
Teicoplanina 400mg Inj,TEICOPLANINA
TEICOPLANINA 400MG,TEICOPLANINA
CLORETO DE POTASSIO 10% (COMPONENTE),CLORETO DE POTASSIO
Ciprofloxacino 100mg/mL Susp oral 50mL (Não Padrão),CIPROFLOXACINO  
Coenzima Q10 50mg Cap (Não Padrão),UBIQUINONA (COENZIMA Q10)
Metilprednisolona Succinato Sódico 500mg Frasco-ampola - Fresenius Kabi,METILPREDNISOLONA
Biperideno 2 mg comprimido,BIPERIDENO
GLICOSE SOL INJ 5% FR SIS FEC 1000ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
LEVOTIROXINA COMP 100MCG,LevoTIROXina
"Amoxicilina 500mg, cápsulas (ORAL)",AMOXICILINA
MC: TURNO (ZOLPIDEM)SL5MG ,ZOLPIDEM
[MPP] OXITON 5UI/ML - 1 AMP + SG 5% 500ML,ocitocina
BACLOFENO 10MG COMPRIMIDO,BACLOFENO
"Captopril 12,5 mg cp",CAPTOPRIL
CARBONATO CALCIO COMP C/500MG,CARBONATO DE CALCIO
NORADRENALINA 4MG/2ML 4ML,NOREPINEFRINA (NORADRENALINA)
Levodopa 250mg + Carbidopa 25mg Comprimido,CARBIDOPA + LEVODOPA
MESNA 400MG COMP (MITEXAN),MESNA
Vitamina D 1.000UI/gota Fr. 5mL gotas,COLECALCIFEROL (VITAMINA D)
DOPamina (Alta Vigilancia) - ampola 10mL 5 mg/mL,DOPamina
LACTULOSE 667MG/ML XPE 120 ML FRS,LACTULOSE
AMILORIDA CAPSULA GELATINOSA DURA 5MG,Amilorida
RISANQUIZUMABE 75MG/0.83ML,RISANQUIZUMABE
TOPIRAMATO 25MG - COMPRIMIDO,TOPIRAMATO
METILPREDNISOLONA SUCCIN 40 MG AMPOLA,METILPREDNISOLONA
GLUCAGON 1MG(1UI)/ML FRASCO AMPOLA,GLUCAGON
Polivitamínico 12 Inj (Cerne),POLIVITAMINICO
Paracetamol 500 mg ,PARACETAMOL  (ACETAMINOFEM)
CloZAPina COMPRIMIDO SIMPLES 25MG @,Clozapina
AZITROMICINA SUSP ORAL 200MG/5ML FR 15ML,AZITROMICINA
Nitroprussiato De Sódio 50mg/2ml Amp,NITROPRUSSIATO (NITROPRUSSETO)
Ciprofloxacino 400 mg  bolsa 200 ml (Isofarma),CIPROFLOXACINO  
LIDOCAINA 2% C/V 20 ML FRASCO AMP (SETERILE PACK CRISTALIA),LIDOCAINA CLORIDRATO
LAMOTRIGINA 50MG CP,LAMOTRIGINA
Domperidona 1mg/ml Susp. Frasco C/ 100ml,DOMPERIDONA
"Sulfato de Atropina 0,50mg/ml  amp 1 ml",ATROPINA
FIBRINOGENIO+APROTININA+TROMBINA SELANTE FIBRINA SOLUCAO TOPICA KIT PO LIOFILO+DILUENTE+SERINGA 10ML,FIBRINOGENIO+APROTININA+TROMBINA (TOPICO)
ACET. DEXAMETASONA + CLORID. TIAMINA+ ASS. (DEXA-CITONEURIN),DEXAMETASONA + OUTROS (PARENTERAL)
DOCEtaxel 80mg/4mL FA (pronto para uso),DOCETAXEL
RINGER SIMPLES SOLUCAO INJETAVEL BOLSA 500 ML,(RINGER) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO
SALMETEROL XINAFOATO 25MCG+FLUTICASONA PROPIONATO 125MCG/DOSE AEROSSOL ORAL 120 DOSES,SALMETEROL + FLUTICASONA
SOLUÇÃO DE GLICERINA 120MG/ML - 12% - 500ML - FRASCO,GLICERINA (RETAL)
BUDESONIDA 50MCG SPRAY NASAL - NP,BUDESONIDA
CARBOPLATINA 10MG/ML 5ML FA,CARBOPLATINA
SUBGALATO DE BISMUTO 5G,SUBGALATO DE BISMUTO
"ROPIVACAÍNA 7,5 MG/ML AMP 20 ML",ROpivacaina
DIENOGESTE 2 mg,DIENOGESTE
MYDRIACYL 10MG/ML COLIRIO 5ML (170GOTAS) FR,TROPICAMIDA
RISPERIDONA 1 MILIGRAMA,RISPERIDONA
Dprev 2.000 UI Cp rev (Não Padrão),COLECALCIFEROL (VITAMINA D)
Butilbrometo Escopolamina fr. 20mL,ESCOPOLAMINA (HIOSCINA)
NOREPinefrina (NORADRENALINA) Hemitart. 2mg/mL amp 4 mL (1 mg/mL de norepinefrina),NOREPINEFRINA (NORADRENALINA)
"Magnésio quelato 7,5mg/mL 100mL",MAGNESIO QUELATO
Doxiciclina 200mg + Maalox 20mL + BETAmetasona 100mg + Nistatina 50mL + Difenidramina 200mg Sol oral 200mL (Não Padrão),DOXICICLINA + MAALOX + BETAMETASONA + NISTATINA + DIFENIDRAMINA
PAROXETINA 20MG COMPRIMIDO,PAROXETINA
SILDENAFIL 5MG/MLSOL ORAL FR 50ML,SILDENAFILA
OXALATO DE ESCITALOPRAM 10MG - COMPRIMIDO REVESTIDO,ESCitalopram
Cloridrato de Paroxetina 20 mg  cp,PAROXETINA
TRAMADOL 50 MG CAPS,TRAMADOL CLORIDRATO
Propofol 1% (10mg/ml) Amp/20ml Inj.,PROPOFOL
TIAMAZOL 10MG - COMPRIMIDO,METIMAZOL (tiamazol)
Cetoprofeno 50mg Cp.*,CETOPROFENO
"(ALTA VIGILÂNCIA) CLORETO DE POTASSIO 19,1% 10 mL 2.56000000000000005 mEq/mL",CLORETO DE POTASSIO
Clonazepam 2 mg cp,CLONAZEPAM
N.P. - ACIDO URSODESOXICOLICO 150 MG COMPRIMIDO (NP),acido ursodesoxicolico
GLUCONATO DE CALCIO 10% 10ML,GLUCONATO DE CALCIO
Mesalazina 500mg Cp lib prolong,MESALAZINA
DEXMEDETOMIDINA ( CLORIDRATO ) 100MCG/ML 2ML (SUBSIDIADO),DEXMEDETOMIDINA
MC: GARDENAL 100MG ,FENOBARBITAL
PrednisoLONA FOSFATO SODICO SOLUCAO ORAL 1MG/ML 100ML,PrednisoLONA
Ampicilina 2g + Sulbactam 1g  Frasco-ampola,AMPICILINA SODICA + SULBACTAM
SERINGA DE SOLUCAO HEPARINA 5ML SOL.INJ,Heparina
LEVODOPA 200MG + BENSERAZIDA CLORIDRATO 50MG COMPRIMIDO,LEVODOPA + BENSERAZIDA
Gluconato de cálcio 10% 10ml inj.,GLUCONATO DE CALCIO
Simeticona 75mg/ml Gotas (1 mL = 30 gotas) Frasco 15ml ,SIMETICONA
SOLUCAO DE GLICOSE 5% SOL INJ C/100ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
VERAPAMIL 5MG/2ML SOL INJ,VERAPAMIL
Valsartana 160mg + HidroCLOROTiazida 25mg + Anlodipino 5mg Comprimido Revestido,VALSARTANA + HIDROCLOROTIAZIDA + ANLODIPINO
DIMENIDRINATO+PIRIDOXINA 50MG+10MG COMP,DIMENIDRINATO + PIRIDOXINA(B6)
KEPPRA 100MG/ML,LEVETIRACETAM
DESMOPRESSINA 4MCG/ML SOL INJ*,DESMopressina
DEXTROSE 40% - GEL ORAL - SERINGA PREENCHIDA - MANIPULADO,DEXTROSE EM GEL
METRONIDAZOL SOL INJ 500MG 100ML,metronidazol
"Dorzolamida 20mg/mL + maleato de timolol 5mg/mL, colírio ,frasco",DORZOLAMIDA + TIMOLOL (OFTALMICO)
Benlysta (belimumabe) 400mg Inj,BELIMUMABE
Alois 10mg/mL Gotas 50ml,MEMANTINA
Fauldmetro 50 mg Inj.,METOTREXATO
TEMOZOLOMIDA 140MG 5CAP SUNPHARMA GEN,TEMOZOLOMIDA
PANTOPRAZOL 40MG IV,PANTOPRAZOL
MABTHERA (RITUXIMABE)  500MG/50ML,RiTUXimabe
CLORIDRATO DE PROPRANOLOL 40MG - COMPRIMIDO,PROPRANOLOL
FORMOTEROL 12MG + BUDESONIDA 400MG C/INALADOR,FORMOTEROL + BUDESONIDA
ERITROPOETINA 40.000UI,ALFAEPOETINA (ERITROPOETINA)
INSULINA HUMANA NPH 100UI/ML – 10ML - 1000UI - SOLUÇÃO INJETÁVEL - FRASCO-AMPOLA,INSULINA ISOFANA
"Alprazolam 0,5mg | Comprimido Simples",ALPRAZOLAM
PRIMIDONA COMPRIMIDO 100MG @,Primidona
"Neostigmina 0,5mg/ml inj. amp. 1mL",NEOSTIGMINA
Glimatin 400mg Cp. Rev.,IMATINIBE
Formoterol + Budesonida 12 + 400mcg Inalatório,FORMOTEROL + BUDESONIDA
DIPIRONA SOL INJ 1G/2ML AMP ENDOVENOSO,DipiRONA
MIDAZOLAM 5MG/ML-3ML AMP IM/IV TEUTO,MIDAZOLAM
"calciTRIOL 0,25MCG CAPS",CalciTRIOL
MUVINlax PO 14G SACHE,MACROGOL + BICARBONATO DE SODIO + CLORETO DE SODIO + CLORETO DE POTASSIO
CAFEINA 30 MG + DIPIRONA 300 MG + MUC. ISOMETEPT. DRAGEA,ISOMETEPTENO + DIPIRONA +CAFEINA
MC: SOMALGINA 100MG ,ACIDO ACETILSALICILICO <200MG
"MITOMICINA C 0,04% PO LIOFILIZADO FA",MITOMICINA
Glicose 50% Bolsa 500ml,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Saccharomyces Boulardii 100mg Cap,SACCHAROMYCES BOULARDII
NOREPinefrina 2 mg/mL 4 mL (1mL=1 mg norepinefrina base),NOREPINEFRINA (NORADRENALINA)
Venlaxin 75mg Cápsula Dura Liberação Prolongada,VENLAFAXINA 
CLORIDRATO DE CEFEPIMA 1G,CEFEPIMA
FERRO QUELATO GLICINATO SUSPENSAO ORAL 250MG/ML 30ML,FERRO GLICINATO
Kalist 2mg Cp (Não Padrão),DIENOGESTE
DEPAKOTE SPRINKLE 125MG CAPS,DIVALPROATO DE SODIO
INSULINA NPH 100 UI/mL,INSULINA ISOFANA
FLUCONAZOL 2MG/ML - FR 100ML,FLUCONAZOL
HIDRALAZINA (CLORIDRATO) 20MG SOL INJ 20MG/ML - AMP 1ML,HidrALAZINA
Sabril 500 Mg Cp.,Vigabatrina
AGUA BIDESTILADA BOLSA 250 ML,AGUA DESTILADA
Tigeciclina 50mg FR,TIGECICLINA
BUPRENORFINA 20 mg,BUPRENORFINA
PARACETAMOL GTS 200MG/ML 15ML FR,PARACETAMOL  (ACETAMINOFEM)
NEVIRAPINA COMPRIMIDO 200MG MS,NEVIRAPINA
CLARITROmicina 500mg Fr-Amp,CLARITROMICINA
MOXIfloxacino 5mg/ml + DEXAmetasona 1mg/ml Solução Oftálmica Frasco 5ml,MOXIFLOXACINO + DEXAMETASONA (OFTALMICO)
Alteplase 50mg/50mL inj. c/ reconstituinte (Actilyse),ALTEPLASE
LINEZOLIDA COMPRIMIDO REVESTIDO 600MG MS,LINEZOLIDA
XYLESTESIN 2% 20ML S/VASO FA,LIDOCAINA CLORIDRATO
"DIGOXINA 0,25MG COMP - (MPP)",DIGOXINA
INSULINA HUMANA REGULAR 100UI/ML - 10ML - 1000UI - SOLUÇÃO INJETÁVEL - FRASCO-AMPOLA,INSULINA REGULAR
"Enoxaparina 60mg inj. seringa preenchida c/ 0,6mL",ENOXAPARINA SODICA
Nilotinibe 200mg Cp,NILOTINIBE
"Cloreto de Potássio 6% (potássio 0,8 Meq/ml) Solução Oral Frasco 100ml - Dose",CLORETO DE POTASSIO
GLICOSE 75% Hipertônica amp c/ 10 ml,SOLUCAO DE GLICOSE HIPERTONICA
MC: DONEPEZILA 10MG ,DONEPEZILA
Furosefarma10mg/ml Amp/2ml Inj.,FUROSEMIDA
Anastrozol 1mg Comprimido Revestido,ANASTROZOL
AZATIOPRINA 50MG,AZATIOPRINA
Bactrim ( Sulfametoxazol/trimetoprima) 200mg+40mg/5ml Frasco 100ml,SULFAMETOXAZOL+TRIMETOPRIMA
ENOXAPARINA 20MG,ENOXAPARINA SODICA
PredniSONA 5MG,PredniSONA
NIVOlumabe Sol inj,NIVOLUMABE
"AMOxicilina+CLAVULANATO 50+12,5MG/ML SUSP 75ML FR",AMOXICILINA + CLAVULANATO POTASSIO
FERRO QUELATO GLICINATO 40 mg,FERRO GLICINATO
MEGESTAT 160 MG (MEDICAMENTO DE RISCO),MEGESTROL ACETATO
SACUBITRIL VALSARTANA 50 MG COMP,SACUBITRIL + VALSARTANA
CLORIDRATO DE AMIODARONA 50MG/ML - 3ML(150MG) - SOLUÇÃO INJETÁVEL - AMPOLA,AMIODARONA
Salbutamol 5mg/mL sol. p/ nebulização ,SALBUTAMOL (ALBUTEROL)
NP TRIMETAZIDINA MR 35MG COMP,TRIMETAZIDINA
HALOPERIDOL 5MG 1ML - AMPOLA,HaloPERidol
MESALAZINA 800MG COMP REV LIB RETAR - MESTRE (NP),MESALAZINA
Nimesulida 50mg/mL fr. 15mL,Nimesulida
propatilnitrato 10 mg comprimido,PROPATILNITRATO
"Cabergolina 0,5mg cpr",CABERGOLINA
"Toujeo 300u/ml Caneta 1,5ml",INSULINA GLARGINA
Hidrocortisona 1% (10mg/g) Pomada Bisnaga 30g,ACETATO DE HIDROCORTISONA (TOPICO)
MPP:  EUTIROX 75MCG,LevoTIROXina
BRINZOLAMIDA 1% COLIRIO,brinzolamida
EPHYNAL 400MG CAPSULA OLEOSA,ACETATO DE RACEALFATOCOFEROL (VITAMINA E)
